gvkey,fyear,conm,cik,ein
4322,1989,EMERSON RADIO CORP,32621,22-3285224
4328,1990,EMONS TRANSPORATION GROUP,32666,23-2441662
4329,1990,EMPI INC-REDH,317032,41-1310335
4331,1990,EMPIRE DISTRICT ELECTRIC CO,32689,44-0236370
4335,1990,EMPIRE OF CAROLINA INC,312840,13-2999480
4340,1990,EMULEX CORP,350917,51-0300558
4341,1989,SORL AUTO PARTS INC,714284,30-0091294
4344,1990,ENCORE COMPUTER CORP,764037,04-2789167
4348,1990,CORNERSTONE NATURAL GAS,725625,74-1952257
4349,1990,CELLEX BIOSCIENCES INC,NA,41-1412084
4351,1990,ENERGEN CORP,277595,63-0757759
4352,1990,ENERGY CONVERSION DEV,32878,38-1749884
4359,1990,AMERICAN MILLENIUM CORP,350193,85-0273340
4364,1989,CENTRUM INDUSTRIES INC,351127,34-1654011
4367,1990,WEATHERFORD INTL PLC,1603923,98-0606750
4369,1990,ENEX RESOURCES CORP,314864,93-0747806
4371,1990,ENGELHARD CORP,352947,22-1586002
4372,1990,ENGINEERED SUPPORT SYSTEMS,772891,43-1313242
4374,1989,ENGINEERING MEASUREMENTS CO,205303,84-0572936
4381,1990,ENERGYNORTH INC,704503,02-0363755
4383,1990,ATMOS ENERGY CORP,731802,75-1743247
4384,2011,MARATHON PATENT GROUP INC,1507605,01-0949984
4387,1990,EMPIRE STATE BUILDING ASSOC,32776,13-6084254
4388,1990,ENGRAPH INC,32991,56-0481457
4390,1989,ENNIS INC,33002,75-0256410
4393,1990,TXU GAS CO,33015,75-0399066
4401,1990,ENTERRA CORP -OLD,353181,23-2154837
4402,1990,ENTERTAINMENT PUBLISHING CP,843028,38-2835541
4409,1990,ENZON PHARMACEUTICALS INC,727510,22-2372868
4411,1989,KLH COMPUTERS INC,768178,74-2167500
4412,1990,VISKASE COMPANIES INC,33073,95-2677354
4413,1990,ENVIRONMENT-ONE CORP,NA,14-1505298
4414,1990,ENVIRONMENTAL SYSTEMS CO,774709,41-0833848
4415,1989,ENVIRONMENTAL TECTONICS CORP,33113,23-1714256
4416,1990,CHANNEL AMERICA BROADCASTING,1323595,59-3229961
4418,1990,ENZO BIOCHEM INC,316253,13-2866202
4423,1990,EQUIFAX INC,33185,58-0401110
4424,1990,HARRIS & HARRIS GROUP-OLD,714504,
4425,1990,EQUIMARK CORP,33189,25-1198784
4427,1990,EQUIPMENT CO OF AMERICA,33195,59-0910687
4430,1990,EQT CORP,33213,25-0464690
4434,1990,EQUITY OIL CO,33325,87-0129795
4439,1990,TELEFONAKTIEBOLAGET LM ERICS,717826,
4443,1990,OHM CORP,788964,34-1503050
4448,1990,ESCALADE INC,33488,13-2739290
4450,1990,ESPEY MFG & ELECTRONICS CORP,33533,14-1387171
4453,1990,ESQUIRE RADIO & ELECTRON INC,33541,11-1962607
4456,1990,ESSEX CORP,355199,54-0846569
4457,1990,ESSEX COUNTY GAS CO,NA,04-1427020
4460,1990,ESTERLINE TECHNOLOGIES CORP,33619,13-2595091
4462,1990,NEWMARKET CORP,1282637,20-0812170
4463,1990,ETZ LAVUD LTD,33681,
4467,1990,EVANS & SUTHERLAND CMP CORP,276283,87-0278175
4469,1989,EVANS INC,33780,36-1050870
4471,1990,EVEREST&JENNINGS INTL,NA,95-2536185
4473,1990,EVERGOOD PRODUCTS CORP,714162,13-2640515
4476,1989,EXAR CORP,753568,94-1741481
4477,1989,CONVERA CORP,1125536,54-1987541
4479,1990,EXCEL INDUSTRIES INC,740868,35-1551685
4485,1990,KINGSTONE COS INC,33992,36-2476480
4491,1990,EXOLON ESK CO,34046,16-0427000
4492,1990,EXOTECH INC,34047,54-0700888
4494,1990,EXPEDITORS INTL WASH INC,746515,91-1069248
4495,1990,EXPERTELLIGENCE INC,NA,95-3506403
4496,1990,TXCO RESOURCES INC,313395,84-0793089
4497,1990,DMC GLOBAL INC,34067,84-0608431
4498,1990,INSTEEL INDUSTRIES,764401,56-0674867
4500,1990,EXTEK MICROSYSTEMS INC,34072,95-2566915
4503,1990,EXXON MOBIL CORP,34088,13-5409005
4506,1990,RIO HOTEL & CASINO INC,734380,95-3671082
4507,1990,FAFCO INC,352956,94-2159547
4510,1990,FMC CORP,37785,94-0479804
4515,1990,ORLEANS HOMEBUILDERS INC,38570,59-0874323
4517,1990,NEXTERA ENERGY INC,753308,59-2449419
4520,1990,FAB INDUSTRIES INC,34136,13-2581181
4523,1989,JO-ANN STORES INC,34151,34-0720629
4526,1990,FABRICLAND INC,34165,93-0563309
4527,1990,FCA INTERNATIONAL LTD,NA,
4529,1990,FCS LABS INC,719130,95-2568559
4530,1990,FDP CORP,722826,59-1382430
4532,1990,FKF INC,215884,42-1083346
4537,1990,FAIR GROUNDS CORP,34236,72-0361770
4542,2012,PRAETORIAN PROPERTY INC,1537118,30-0693512
4544,2009,BIOSTEM US CORP,1455380,80-0324801
4545,1990,FAIRCHILD INDUSTRIES INC,34257,52-0579835
4546,1990,FAIRFIELD COMMUNITIES INC,276189,71-0390438
4551,1990,FAIRMOUNT CHEMICAL CO INC,34296,22-0900720
4552,1989,FALCON OIL & GAS INC,215797,75-1531117
4553,1990,FALCON PRODUCTS INC,34339,43-0730877
4555,1990,FALCONBRIDGE LTD -OLD,948840,
4556,1990,FALL RIVER GAS CO,34371,04-1298780
4557,1990,FALLS CITY INDUSTRIES INC,34382,61-0188060
4560,1990,FAMILY DOLLAR STORES,34408,56-0942963
4562,1990,FAMILY HEALTH SYSTEMS INC,NA,
4564,1990,FAMOUS RESTAURANTS INC,354929,86-0414274
4568,1990,FANSTEEL INC/DE,34471,36-1058780
4569,1990,WESTMINSTER CAPITAL INC,34489,95-2157201
4571,1990,FARADAY RESOURCES INC,23589,
4572,1989,COVISTA COMMUNICATIONS INC,34497,22-1656895
4573,1990,FARAH INC,34501,74-1061146
4576,1990,FARM FISH INC,34551,64-0532896
4577,1990,FARM FRESH INC,715357,54-0973309
4578,1989,FARM HOUSE FOODS,34552,39-1101739
4579,1990,FARMER BROTHERS CO,34563,95-0725980
4581,1990,FARMERS GROUP INC,34587,95-0725935
4584,1990,FARMLAND INDUSTRIES INC,34616,44-0209330
4585,1990,FARR CO,34629,95-1288401
4589,1990,FAST FOOD OPERATORS INC,350487,13-2974867
4591,1990,FARMLAND FOODS INC,34615,42-0862509
4592,1989,FAYS INC,34768,16-0919350
4595,1990,FEDDERS CORP,744106,22-2572390
4598,1989,FEDEX CORP,1048911,62-1721435
4599,1990,RUSSEL METALS INC,903657,41-1443629
4600,1990,FEDERAL-MOGUL HOLDINGS CORP,1419581,46-5182047
4601,1990,FEDERAL NATIONAL MORTGA ASSN,310522,52-0883107
4603,1990,FEDERAL PAPER BOARD CO,34891,22-0904830
4605,1990,FEDERAL REALTY INVESTMENT TR,34903,52-0782497
4606,2010,COLE REAL ESTATE INVESTMENTS,1425923,26-1846406
4607,1990,FEDERAL SCREW WORKS,34908,38-0533740
4608,1990,FEDERAL SIGNAL CORP,277509,36-1063330
4611,1989,MACY'S INC,794367,13-3324058
4614,1990,FEDERATED NATURAL RES LIQ TR,722203,38-6555077
4616,1990,FEDERATED PURCHASER INC,34977,22-1589344
4622,1990,FERRO CORP,35214,34-0217820
4623,1990,FERROFLUIDICS CORP,1409475,02-0275185
4625,1990,FERRY CAP & SET SCREW CO,35223,34-0217880
4629,1990,FIBRONICS INTERNATIONAL INC,724968,04-2629923
4632,1990,CALADRIUS BIOSCIENCES INC,320017,22-2343568
4635,1990,FIELDCREST CANNON,35469,56-0586036
4639,1990,FIFTH DIMENSION INC,NA,21-0717490
4640,1990,FIFTH THIRD BANCORP,35527,31-0854434
4641,1990,SCOTT TECHNOLOGIES INC,720032,52-1297376
4645,1990,SCHAWK INC  -CL A,719164,66-0323724
4660,1990,DYANSEN CORP,719650,13-3026132
4664,1989,FINGERMATRIX INC,NA,
4666,1990,INTERACTIVE DATA HLDGS -REDH,1498720,27-3052291
4667,1990,FINANCIAL LAND CORP,35754,31-0741425
4669,1990,FINNING INTERNATIONAL INC,NA,
4671,1989,FIRECOM INC,732248,13-2934531
4674,1990,REGIONS FINANCIAL CORP,1281761,63-0589368
4675,1990,INAMED CORP,109831,59-0920629
4678,1990,FIRSTMERIT CORP,354869,34-1339938
4679,1990,FIRST AMERICAN CORP/TN,NA,62-0799975
4680,1990,FIRST OF AMERICA BANK CORP,36703,38-1971791
4681,2011,HYDE PARK ACQUISITION CP II,1519817,27-5156956
4682,1990,U S BANCORP/DE-OLD,NA,
4685,1990,TRUSTMARK CORP,36146,64-0471500
4687,1990,FIRST CAROLINA INVTS  -OLD,NA,
4689,1990,FIRST CHICAGO CORP,36161,36-2669970
4690,1990,FIRST CITIZENS BANCSH  -CL A,798941,56-1528994
4691,1990,FIRST CITY BANCORP TEX-DEL,36173,
4694,1990,FIRST COMMERCE CORP,36204,72-0701203
4695,1989,FCCC INC,730669,06-0759497
4699,1990,M & T BANK CORP,36270,16-0968385
4700,1990,FIRST FIDELITY BANCORP,823870,22-2826775
4702,1990,FIRST FINANCIAL CORP/TX,36315,74-1502313
4703,1990,FIRST FINANCIAL MGMT CORP,36326,58-1107864
4704,1990,FIRST FLORIDA BANKS INC,109834,59-1232618
4707,1989,FIRST HARTFORD CORP,36369,01-0185800
4708,1990,BANCWEST CORP,NA,99-0156159
4710,1990,FIRST INTERSTATE BNCP,105982,95-1418530
4714,1990,FIRST MARITIME MNG CORP LTD,NA,
4715,1990,ALLFIRST FINANCIAL INC,36510,52-0981378
4716,1990,FIRST OF MICHIGAN CAPITAL CP,36781,13-2780197
4719,1990,CHEMFIRST INC,1026601,64-0679456
4723,1990,U S BANCORP,36104,41-0255900
4731,1990,MEDIA SOURCE INC,354564,34-1297143
4735,1990,FIRST REPUBLIC CORP AMERICA,36856,13-1938454
4736,1990,FIRST SECURITY CORP/DE,312367,87-6118148
4737,1990,FIRST HORIZON NATIONAL CORP,36966,62-0803242
4739,1990,WACHOVIA CORP,36995,56-0898180
4740,1990,WINTHROP REALTY TRUST,37008,34-6513657
4742,1990,FIRST VIRGINIA BANKS INC,37032,54-0497561
4743,1990,FIRSTAR CORP-OLD,37076,39-0711710
4745,1989,FIRSTCORP INC  -CL A,NA,56-1421419
4747,1990,FISCHER & PORTER CO,37115,23-0582516
4748,1990,RINI-REGO SUPERMARKET,37180,34-0222970
4751,1990,FITCHBURG GAS & ELEC LIGHT,37248,04-1328660
4757,1989,FLAME INDUSTRIES INC,225360,41-0825622
4758,1990,FLAMEMASTER CORP,37358,95-2018730
4759,1990,FLANIGANS ENTERPRISES INC,12040,59-0877638
4763,1990,MAGELLAN AEROSPACE CORP,NA,
4764,1990,FLEETBOSTON FINANCIAL CORP,50341,05-0341324
4768,1989,FLEETWOOD ENTERPRISES INC,314132,95-1948322
4769,1990,FLEMING COMPANIES INC,352949,48-0222760
4771,1990,FLEXSTEEL INDUSTRIES INC,37472,42-0442319
4772,1990,FLEXWATT CORP,704360,04-2716571
4776,1990,FLIGHT DYNAMICS INC,NA,93-0686126
4777,1989,FLIGHT INTERNATIONAL GROUP,732775,58-1476225
4779,1990,FLIGHTSAFETY INTERNATIONAL,37481,11-1671001
4781,1990,FLOATING POINT SYSTEMS INC,276558,93-0586576
4783,1990,GERALD STEVENS INC,37525,65-0971499
4790,1990,FLORIDA EAST COAST INDS,1360951,59-2349968
4793,1989,FLORIDA GLASS INDUSTRIES INC,37594,59-1361043
4797,1990,FLORIDA PARTNERS CORP,705405,59-2354501
4798,1990,FLORIDA POWER & LIGHT CO,37634,59-0247775
4799,1990,DUKE ENERGY FLORIDA INC,37637,59-0247770
4800,1990,FLORIDA PROGRESS CORP,357261,59-2147112
4801,1990,FLORIDA PUBLIC UTILITIES CO,37643,59-0539080
4802,1990,FLORIDA ROCK INDUSTRIES INC,37651,59-0573002
4803,1990,AMERISTEEL CORP,37661,59-0792436
4806,1990,GRC INTL INC,201944,95-2131929
4807,1989,FLOW INTL CORP,713002,91-1104842
4809,1990,FLOWERS FOODS INC,1128928,58-2582379
4810,1990,FLOYD VALLEY PACKING  -CL A,37727,42-0876120
4817,1990,FLUKE CORP,37743,91-0606624
4818,1990,FLUOR CORP,1124198,33-0927079
4819,1989,FURON CO,37755,95-1947155
4826,1990,FONAR CORP,355019,11-2464137
4828,1990,DELHAIZE AMERICA INC,37912,56-0660192
4830,1990,FOODARAMA SUPERMARKETS,37914,21-0717108
4834,1990,TRUE NORTH COMMUNICATIONS,37931,36-1088162
4836,1990,FOOTHILL GROUP INC  -CL A,37941,94-1663353
4837,1990,FOR BETTER LIVING INC,37946,95-2598411
4838,1990,FORD MOTOR CO OF CANADA LTD,800351,
4839,1990,FORD MOTOR CO,37996,38-0549190
4840,1990,FORD MOTOR CREDIT CO LLC,38009,38-1612444
4842,1989,FOREST CITY REALTY TRUST INC,1647509,47-4113168
4843,1989,FOREST LABORATORIES  -CL A,38074,11-1798614
4844,1990,FOREST OIL CORP -OLD,NA,25-0484900
4845,1989,TRACE PRODUCTS,731427,94-2730580
4847,1990,SWISS ARMY BRANDS INC,NA,13-2797726
4850,1990,FORT HOWARD CORP,38195,39-1090992
4853,2010,PRESS VENTURES INC,1506522,39-2077493
4854,1990,CONNECTIVITY TECHNOLGIES INC,714399,94-2691724
4856,1989,FORUM GROUP INC,33939,61-0703072
4860,1990,FOSTER (LB) CO,352825,25-1324733
4864,1990,FOSTER WHEELER AG,1130385,98-0607469
4875,1989,FOXMEYER CORP,NA,13-2929111
4878,1990,FRANKLIN MINING INC,215913,13-2879202
4881,1990,FRANKLIN ELECTRIC CO INC,38725,35-0827455
4885,1990,FRANKLIN RESOURCES INC,38777,13-2670991
4887,1989,FRANKS NURSERY & CRAFTS INC,38792,38-1561374
4891,1990,FRAWLEY CORP,38824,95-2639686
4892,1990,FREDERICKS OF HOLLYWD  -CL B,38868,95-2666265
4894,1990,FREEPT MCMORAN O&G ROYALTY,NA,72-6108468
4895,1990,FREEPORT MCMORAN INC,351116,13-3051048
4900,1989,FREQUENCY ELECTRONICS INC,39020,11-1986657
4903,1989,FRIEDMAN INDUSTRIES INC,39092,74-1504405
4907,1989,FRIES ENTERTAINMENT INC,733267,95-4097689
4911,1989,FRISCH'S RESTAURANTS INC,39047,31-0523213
4918,1990,FROZEN FOOD EXPRESS INDS,39273,75-1301831
4924,1990,DAKA INTERNATIONAL INC,840826,04-3024178
4925,1990,FUJIFILM HLDGS CORP,800365,
4926,1990,FULLER (H. B.) CO,39368,41-0268370
4929,1990,FUTURE COMMUNICATIONS,32190,22-1837650
4932,1990,METROMEDIA INTERNATIONAL GRP,39547,58-0971455
4933,1989,BANYAN CORP,744041,22-2500533
4936,1990,G&K SERVICES INC  -CL A,39648,41-0449530
4940,1990,G-I HOLDINGS INC,845806,13-3483838
4941,1990,GATX CORP,40211,36-1124040
4943,1989,GBI INTERNATIONAL INC,764482,11-2528032
4946,1990,GEICO CORP,277795,52-1135801
4954,1990,GNI GROUP INC,355269,76-0232338
4956,1990,GRI CORP,876687,36-3771866
4960,1990,GSW INC  -CL B,NA,
4961,1990,GTE CORP,40858,13-1678633
4962,1990,GTI CORP,44319,05-0278990
4963,1990,GTS CORP,41107,74-1813673
4972,1990,NETOPTIX CORP,711425,04-2526583
4973,1990,ARTHUR J GALLAGHER & CO,354190,36-2151613
4975,1990,GALOOB TOYS INC,751968,94-1716574
4976,1990,STRATEGIC VALUE CORP,NA,
4977,1990,GALVESTON HOUSTON,39838,74-1200327
4978,1989,GAM RAD INC,39843,38-1844611
4981,1990,GAMBRO AB  -ADR -OLD,742364,
4985,1989,GAMMA BIOLOGICALS INC,317890,74-1668436
4987,1990,GANDALF TECHNOLOGIES INC,355876,
4988,1990,TEGNA INC,39899,16-0442930
4990,1989,GAP INC,39911,94-1697231
4991,1990,GAP INSTRUMENT CORP,39910,11-1781357
4993,1990,GARAN INC,39917,13-5665557
5014,1990,GELMAN SCIENCES INC,310252,38-1614806
5016,1990,INVESTORS INSURANCE GROUP,43340,13-2574130
5018,1990,AEROJET ROCKETDYNE HOLDINGS,40888,34-0244000
5019,1989,GENDIS INC  -CL A,NA,
5020,1990,GENENTECH INC,318771,94-2347624
5024,1990,GENERAL AMERICAN INVESTORS,40417,13-5098500
5027,1990,GA EXPRESS INC,40443,95-2488811
5032,1990,GENERAL BINDING CORP,40461,36-0887470
5035,1990,GENERAL BUILDERS CORP,40472,11-1894131
5038,1990,HARCOURT GENERAL INC,40493,04-1619609
5043,1990,GENERAL DATACOMM INDUSTRIES,40518,06-0853856
5045,1990,MEDCLEAN TECHNOLOGIES INC,40528,21-0661726
5046,1990,GENERAL DYNAMICS CORP,40533,13-1673581
5047,1990,GENERAL ELECTRIC CO,40545,14-0689340
5048,1990,GENERAL ELECTRIC CAP CORP,40554,13-1500700
5050,1990,GEE GROUP INC,40570,36-6097429
5060,1989,GENERAL HOST CORP,40638,13-0762080
5061,1990,GENERAL HOUSEWARES,40643,41-0919772
5063,1989,GENERAL INSTRUMENT CORP,1035881,36-4134221
5065,1989,GENERAL KINETICS INC,40675,54-0594435
5066,1990,GENERAL MAGNAPLATE CORP,40687,22-1641813
5068,1990,GENERAL METAL & ABRASIVES CO,745612,38-2400980
5070,1989,GENERAL MICROWAVE CORP,40703,11-1956350
5071,1989,GENERAL MILLS INC,40704,41-0274440
5072,1990,ALLY FINANCIAL INC,40729,38-0572512
5073,1990,GENERAL MOTORS CO,1467858,27-0756180
5074,1990,ELECTRONIC DATA SYSTEMS CORP,1007456,75-2548221
5075,1989,GENERAL NUTRITION INC,317030,25-1027307
5076,1990,GENERAL PHYSICS CORP,709560,52-0845774
5079,1990,GPU INC,40779,13-5516989
5080,1990,GENERAL RE CORP,317745,06-1026471
5087,1990,SPX CORP,88205,38-1016240
5090,1990,VERIZON INC/CA,40864,95-0510200
5091,1990,VERIZON INC/FL,40865,59-0397520
5093,1990,VERIZON INC/NORTH,40867,35-1869961
5097,1990,VERIZON INC/NORTHWEST,NA,91-0466810
5100,1990,VERIZON SOUTH INC,40878,56-0656680
5101,1990,GTE SOUTHWEST INC,40874,75-0573444
5107,1990,GENERAL WATERWORKS CORP,40921,71-0005226
5109,1989,GENESCO INC,18498,62-0211340
5111,1989,GENESEE CORP  -CL B,40934,16-0445920
5112,1990,GENETIC ENGINEERING INC,319649,84-0824079
5113,1990,BIOPLASTY INC,40944,41-0972771
5116,1990,GENTEX CORP,355811,38-2030505
5118,1990,GENEX CORP,704695,52-1111044
5119,1990,GENISCO TECHNOLOGY,746071,95-1636827
5121,1989,GENOVESE DRUG STORES  -CL A,40970,11-1556812
5122,1990,GENRAD INC,40972,04-1360950
5124,1989,GEODYNAMICS CORP,769409,95-2502865
5125,1990,GENUINE PARTS CO,40987,58-0254510
5129,1990,GEORESOURCES INC -OLD,NA,
5130,1989,GEODYNE RESOURCES INC,318223,73-1052703
5131,1990,GEO INTERNATIONAL CORP,702993,06-1054611
5133,1990,BONTEX INC,41052,54-0571303
5134,1990,GEORGIA-PACIFIC CORP,41077,93-0432081
5135,1990,GEORGIA POWER,41091,58-0257110
5140,1990,GOLD KING CONSOLIDATED INC,314834,83-0235672
5141,1989,GERBER PRODUCTS CO,41130,38-0558270
5142,1989,GERBER SCIENTIFIC INC,41133,06-0640743
5144,1989,GERIATRIC & MEDICAL COS INC,41147,23-1713341
5147,1990,GESCO INDUSTRIES INC,NA,
5149,1989,GETTY REALTY CORP,1052752,11-3412575
5151,1989,GIANT FOOD INC  -CL A,41289,53-0073545
5152,1990,GIANT GROUP LTD,41296,23-0622690
5153,1990,AMERICAN PAC MINERALS LTD,352887,68-0302381
5156,1990,GIANT YELLOWKNIFE MINES LTD,NA,
5158,1990,GIBRALTAR FINANCIAL CORP,41336,95-2035427
5160,1990,GIBSON (CR) CO,41365,06-0361615
5161,1990,GIBSON GREETINGS INC,717829,52-1242761
5165,1989,GIGA-TRONICS INC,719274,94-2656341
5166,1990,SALIENT 3 COMMUN INC  -CL A,740763,23-2280922
5169,1990,GILLETTE CO,41499,04-1366970
5174,1990,GISH BIOMEDICAL INC,700945,95-3046028
5177,1990,GLADSTONE RESOURCES INC,NA,91-0234563
5179,1990,GLATFELTER,41719,23-0628360
5180,1990,GLAXOSMITHKLINE PLC,1131399,
5181,1990,GLEASON CORP,743239,16-1224655
5184,1990,GOLDEN STATE BANCORP INC-OLD,NA,95-0775407
5185,1990,GLENMORE DISTILLERIES  -CL B,41781,61-0204580
5187,1990,GLOBALSANTAFE CORP,1038914,98-0108989
5188,1990,GLOBAL NATURAL RESOURCES INC,733289,93-0835865
5193,1989,GLOBUS GROWTH GROUP,NA,13-2949462
5198,1990,BALKORE INDUSTRIES INC,41980,04-2268165
5202,1999,WESTERN SIERRA RESOURCE CORP,42050,87-0267213
5205,1990,GOLD RESERVE INC,1072725,
5208,1990,GOLD KIST INC,215994,
5209,1990,GOLDEN CORRAL RESTAURANT,319495,56-1005071
5210,1989,GOLDEN ENTERPRISES,42228,63-0250005
5211,1990,MIRAGE RESORTS INC,42246,88-0058016
5215,1990,WHITEMARK HOMES INC,42284,25-1302097
5216,1990,GOLDEN WEST FINANCIAL CORP,42293,95-2080059
5218,1990,GOLDFIELD CORP,42316,88-0031580
5224,1989,GOODHEART-WILLCOX CO INC,42504,36-2135994
5229,1990,GOODRICH CORP,42542,34-0252680
5231,1990,GOODY PRODUCTS INC,317332,13-5654932
5233,1990,GOODYEAR CANADA INC,NA,
5234,1990,GOODYEAR TIRE & RUBBER CO,42582,34-0253240
5235,1990,GORDON JEWELRY CORP,NA,74-1235661
5237,1990,GORMAN-RUPP CO,42682,34-0253990
5241,2007,KYTHERA BIOPHARMA INC,1436304,03-0552903
5242,2010,COLE REAL ESTATE INCM STRTGY,1498542,27-3147801
5246,1990,GOULD INVESTORS  -LP,779335,11-2763164
5247,1990,GOULDS PUMPS INC,42791,15-0321120
5250,1990,GRACE (W R) & CO,1045309,65-0773649
5252,1990,GRACO INC,42888,41-0285640
5253,1989,GRADCO SYSTEMS INC,719597,95-3342977
5254,1990,GRAHAM CORP,716314,16-1194720
5256,1990,GRAINGER (W W) INC,277135,36-1150280
5262,1990,GRANDUC MINING CORP,NA,
5271,1990,GRANITE STATE ELECTRIC CO,43080,02-0140660
5275,1989,GRAPHIC INDUSTRIES,727162,58-1101633
5277,1990,GRAPHIC SCANNING CORP,43142,11-2205635
5284,1990,GRAY TELEVISION INC,43196,58-0285030
5288,1990,GRAYBAR ELECTRIC CO INC,205402,13-0794380
5291,1990,GREAT AM BK SAN DIEGO,814242,95-1185066
5293,1990,GREAT AMERICAN MGMT & INVT,43287,58-1351398
5295,1990,GREASE MONKEY HOLDING CORP,350179,87-0321320
5296,2011,COLE CORPORATE INCM TR INC,1490626,
5298,2012,ENERGY LEADERS INCOME FUND,NA,
5299,2012,JFT STRATEGIES FUND,NA,
5301,1989,GREAT ATLANTIC & PAC TEA CO,43300,13-1890974
5302,1990,ORMINEX LTD,312653,
5305,1990,GREAT EASTERN ENERGY & DEV,352871,54-1082057
5306,1990,GREAT LAKES CHEMICAL CORP,43362,95-1765035
5307,1990,BOWATER PULP & PAPER,887584,
5313,1990,GREAT NORTHERN IRON ORE PPTY,43410,41-0788355
5321,1990,GREAT WESTERN FINANCIAL,43512,95-1913457
5327,1990,PHOENIX FOOTWEAR GROUP INC,26820,15-0327010
5330,1990,GREEN MOUNTAIN POWER CORP,43704,03-0127430
5331,1990,CONSECO FINANCE CORP,890175,41-1807858
5334,1989,NOODLE KIDOODLE INC,43837,11-1771705
5336,1990,ALSERES PHARMACEUTICALS INC,94784,87-0277826
5338,1990,GREIF INC  -CL A,43920,31-4388903
5339,1990,GREINER ENGINEERING INC,40956,95-1799320
5340,1990,GREY GLOBAL GROUP INC,43952,13-0802840
5342,1990,MONEYGRAM INTERNATIONAL INC,1273931,16-1690064
5343,1990,GREYHOUND FINANCIAL CORP,43960,94-1278569
5344,1990,GREYHOUND CDA TRANSPORTN CP,NA,
5345,1990,GRIFFIN TECHNOLOGY INC,82295,16-0864416
5354,1990,GROW GROUP INC,44171,11-1665588
5357,1990,GRUBB & ELLIS CO,216039,94-1424307
5361,1990,GRUMMAN CORP,44279,11-0844750
5362,1989,GTECH CORP,719702,05-0389840
5369,1990,GUARDSMAN PRODUCTS INC,44420,38-0593900
5374,1990,GUEST SUPPLY INC,722642,22-2320483
5377,1990,GUILFORD MILLS INC,44471,13-1995928
5378,1990,PARAMOUNT COMMUNICATIONS INC,44482,74-1330475
5379,1990,GULFMARK OFFSHORE INC,1030749,76-0526032
5385,1990,GULF POWER CO,44545,59-0276810
5386,1990,GULF USA CORP,44549,74-1211840
5387,1990,ENTERGY GULF STATES LA LLC,44570,74-0662730
5395,1989,GYRODYNE LLC,1589061,46-3838291
5397,1990,H & H OIL TOOL CO,355902,95-2652772
5398,1990,HAL INC,NA,99-0212598
5399,1990,HBO & CO,310377,37-0986839
5403,1989,HEI CORP,720609,74-1988706
5404,1990,HEI INC,351298,41-0944876
5405,1990,HIA INC,318189,16-1028783
5408,1990,HMG COURTLAND PROPERTIES,311817,59-1914299
5412,1990,HPSC INC,718909,04-2560004
5417,1990,HUDSON UNITED BANCORP,703559,22-2405746
5418,1989,HABER INC,355699,22-2305613
5419,1989,HACH CO,44764,42-0704420
5420,1990,HADCO CORP,729533,04-2393279
5421,1990,MIRACOR DIAGNOSTICS INC,723906,58-1475517
5422,1990,ANALEX CORP,44800,71-0869563
5432,1989,HALIFAX CORP,720671,54-0829246
5433,1990,HALL (FRANK B.) & CO,752180,13-5518197
5434,1990,HAHN INC,225418,35-1176377
5439,1990,HALLIBURTON CO,45012,75-2677995
5442,1990,HALLWOOD GROUP INC,355766,51-0261339
5444,1990,HAMBURGER HAMLET RESTR INC,879501,95-4207219
5448,1989,HAMILTON DIGITAL CONTROL INC,45136,16-0959062
5449,1989,HAMILTON GROUP LTD  -CL A,NA,
5451,1990,HAMILTON OIL CORP,727283,84-0922253
5454,1989,HAMMOND CO,722075,95-3784213
5456,1990,HAMPTON INDUSTRIES,45260,56-0482565
5457,1990,HANCOCK (JOHN) INCOME SEC,759866,
5458,1989,HANDLEMAN CO,314727,38-1242806
5460,1990,HANDY & HARMAN,45333,13-5129420
5463,1990,HANKS SEAFOOD CO INC,45356,52-0708942
5464,1990,HANNA (M A) CO,45370,34-0232435
5465,1990,HANNAFORD BROTHERS CO,45379,01-0085930
5468,1990,HARCOURT BRACE JOVANOVICH,45529,13-1935377
5475,1990,HKN INC,313478,95-2841597
5476,1990,HARLAND (JOHN H.) CO,45599,58-0278260
5479,1990,AMEXDRUG CORP,45621,95-2251025
5482,1990,HARNISCHFEGER CORP,27803,39-0334430
5485,1990,CIRCLE INTERNATIONAL GRP INC,45674,94-1740320
5488,1990,NORAM CAPITAL HOLDINGS INC,45694,13-1946181
5492,1990,L3HARRIS TECHNOLOGIES INC,202058,34-0276860
5496,1990,HARSCO CORP,45876,23-1483991
5501,1990,SHAWMUT NATIONAL CORP,823393,06-1212629
5503,1990,HSB GROUP INC,1034588,06-1475343
5505,1990,HARTMARX CORP,723371,36-3217140
5508,1990,HARVARD INDUSTRIES INC,46012,21-0715310
5513,1989,HARVEY ELECTRONICS INC,46043,13-1534671
5518,1990,HASBRO INC,46080,05-0155090
5519,1990,HASTINGS MANUFACTURING CO,46109,38-0633740
5520,1990,ALLIED MOTION TECHNOLOGIES,46129,84-0518115
5523,1990,HAVERTY FURNITURE,216085,58-0281900
5525,1990,HAWAIIAN ELECTRIC CO,46207,99-0040500
5526,1990,HAWAIIAN ELECTRIC INDS,354707,99-0208097
5527,1990,VERIZON INC/HI,46216,99-0049500
5528,1990,HAWKER SIDDELEY CANADA,NA,
5529,1990,HAWKEYE BANCORPORATION,46238,42-0926317
