,Unnamed: 0,ABS ASSET CLASS:            ,BUSINESS PHONE,CENTRAL INDEX KEY,CITY,COMPANY CONFORMED NAME,CONFORMED PERIOD OF REPORT,DATE AS OF CHANGE,DATE OF NAME CHANGE,FILED AS OF DATE,FILM NUMBER,FISCAL YEAR END,FORM TYPE,FORMER CONFORMED NAME,IRS NUMBER,SEC ACT,SEC FILE NUMBER,STANDARD INDUSTRIAL CLASSIFICATION,STATE,STATE OF INCORPORATION,STREET 1,STREET 2,ZIP
5046,1352419,,(8629) 8726-5109,1352419,XI'AN,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,,,20060207.0,,81114226.0,630.0,10-K,"DISPATCH AUTO PARTS, INC.",204200300.0,1934 Act,000-51818,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],F4,FL,"391 HUA YU LANE, DONG XIN STREET",,50000
5131,1355042,,(86) 22-2576-2771,1355042,TIANJIN,China Auto Logistics Inc,,,20060303.0,,17716829.0,1231.0,10-K,FRESH IDEAS MEDIA INC,202574314.0,1934 Act,001-34393,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],F4,NV,FLOOR 1 FTZ INTERNATIONAL AUTO MALL,"86 TIANBAO AVENUE, FREE TRADE ZONE",300461
5176,1356564,,82 70 4699 3585,1356564,SEOUL,"Leo Motors, Inc.",,,20060317.0,,17911458.0,1231.0,10-K/A,Simco America Inc.,953909667.0,1934 Act,000-53525,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],M5,NV,3F BOKWANG BLDG.,"SEOWOON-RO 6 GIL 14, SEOCHO-GU",06734
5675,1369203,,925-930-0100,1369203,"WALNUT CREEK,",HK BATTERY TECHNOLOGY INC,,,20060718.0,,161571774.0,1231.0,10-K,"Nano Holdings International, Inc.",203724068.0,1934 Act,000-52636,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,DE,"1640 TERRACE WAY,",,94597
5681,1369444,,562-531-8886,1369444,PARAMOUNT,MIZATI LUXURY ALLOY WHEELS INC,,,,,11781403.0,,10-K/A,,0.0,1934 Act,000-53509,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,,16122 ORANGE AVE,,90723
5903,1375911,,516-971-3385,1375911,COLD SPRING HARBOR,"ISDERA NORTH AMERICA, INC.",,,,,11763588.0,630.0,10-K,,112885989.0,1934 Act,000-52844,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],NY,,50 PINE DRIVE,,11724
6608,1390844,,248-270-9299,1390844,ROCHESTER HILLS,WABCO Holdings Inc.,,,,,19609822.0,1231.0,10-K,,208481962.0,1934 Act,001-33332,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],MI,DE,2770 RESEARCH DRIVE,,48309
6695,1392477,,702-870-0700,1392477,"NORTH LAS VEGAS,",XTREME GREEN ELECTRIC VEHICLES INC.,,,20070308.0,,15729702.0,1231.0,10-K,BELARUS CAPITAL CORP.,262373311.0,1934 Act,000-52502,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],NV,NV,3010 ALEXANDER AVE.,SUITE 1002,89030
7096,1398529,,714-545-7777,1398529,SANTA ANA,"GREENKRAFT, INC.",,,20070504.0,,19823051.0,1231.0,10-K/A,Sunrise Global Inc.,208767728.0,1934 Act,000-53047,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,NV,2530 S. BIRCH STREET,,92797
7519,1403930,,845 356 8008,1403930,MONSEY,GISSER AUTOMOTIVE CONCEPTS INC,,,,,101016233.0,430.0,10-K,,133948927.0,1934 Act,333-145181,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],NY,NY,52 EDISON COURT,UNIT E,10952
7554,355811,,6167721800,355811,ZEELAND,GENTEX CORP,,,,,19624492.0,1231.0,10-K,,382030505.0,1934 Act,000-10235,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,MI,600 N CENTENNIAL STREET,,49464
7582,1404804,,760-591-0089,1404804,VISTA,Omnitek Engineering Corp,,,,,19720259.0,1231.0,10-K,,0.0,1934 Act,000-53955,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,CA,1333 KEYSTONE WAY,#101,92081
7924,1411207,,(317) 242-5000,1411207,Indianapolis,Allison Transmission Holdings Inc,,,,,19633839.0,1231.0,10-K,,0.0,1934 Act,001-35456,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IN,DE,ONE ALLISON WAY,,46222
8099,1414792,,954-779-3600,1414792,FORT LAUDERDALE,"SCORPION PERFORMANCE, INC.",,,,,11983158.0,1231.0,10-K,,650979606.0,1934 Act,000-52859,MOTOR VEHICLE PARTS & ACCESSORIES [3714],FL,FL,3000 S.W. 4TH AVENUE,,33315
8102,1414937,,812-867-4156,1414937,EVANSVILLE,"UCI Holdco, Inc.",,,,,10692897.0,1231.0,10-K,,161760186.0,1934 Act,333-147178,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IN,DE,14601 HIGHWAY 41 NORTH,,47725
8164,1416299,,011-86-135-9605-1170,1416299,CHANG CHUN,Avatar Ventures Corp.,,,,,111240310.0,731.0,10-K/A,,0.0,1934 Act,333-147037,MOTOR VEHICLE PARTS & ACCESSORIES [3714],F4,NV,"POSTAL CODE 130021, BOX 2225","MING DE ROAD POST OFFICE, CHAO YANG",1300006
8239,1418452,,949-903-9144,1418452,LAS VEGAS,"Blink Technologies, Inc.",,,20100208.0,,14994132.0,930.0,10-K,TRUESPORT ALLIANCES LTD,261395403.0,1934 Act,000-53564,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],NV,NV,5536 FT APACHE #102,,89148
8289,1419581,,248-354-7700,1419581,SOUTHFIELD,Federal-Mogul Holdings LLC,,,20071228.0,,17628734.0,1231.0,10-K,FEDERAL-MOGUL CORP,208350090.0,1934 Act,001-34029,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,27300 WEST 11 MILE ROAD,,48034
8339,1420421,,1888 251 3422,1420421,NEW YORK,"MUSTANG ALLIANCES, INC.",,,20071206.0,,13751846.0,,10-K,MUSTANG ALLIANCES,743206736.0,1934 Act,000-54212,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],NY,,410 PARK AVENUE,15TH FLOOR,10022
8524,1425287,,513-360-4704,1425287,LOVELAND,Workhorse Group Inc.,,,20080128.0,,19686928.0,1231.0,10-K,"Title Starts Online, Inc.",261394771.0,1934 Act,001-37673,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],OH,NV,100 COMMERCE DRIVE,,45140
8850,1434589,,714-619-3600,1434589,COSTA MESA,"T3 Motion, Inc.",,,,,13764240.0,1231.0,10-K,,204987549.0,1934 Act,001-35133,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,DE,"2990 AIRWAY AVENUE, SUITE A",,92626
9149,1443157,,775-321-8216,1443157,CARSON CITY,eFleets Corp,,,20080815.0,,14768168.0,1231.0,10-K,"NUMBEER, INC.",262374319.0,1934 Act,000-54357,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],NV,NV,112 NORTH CURRY STREET,,89703
9208,1444855,,86-028-8506-8768,1444855,"CHENGDU, SICHUAN PROVINCE","Dongsheng Pharmaceutical International Co., Ltd.",,,20080910.0,,101084232.0,630.0,10-K,"Indestructible, Inc",262603989.0,1934 Act,333-154787,MOTOR VEHICLE PARTS & ACCESSORIES [3714],F4,DE,"ROOM 10, 9TH FLOOR, BUILDING NO. 5","9 GAOSHENGQIAO ROAD, DAYI LOUVER PLAZA",610041
9371,1453420,,(855) 324-6288,1453420,SCOTTSDALE,"Echo Automotive, Inc.",,,20090108.0,,14731331.0,1231.0,10-K,"Canterbury Resources, Inc.",980599680.0,1934 Act,000-53681,MOTOR VEHICLE PARTS & ACCESSORIES [3714],AZ,NV,"16000 N. 80TH STREET, SUITE E",,85260
9444,1459003,,877-693-8227,1459003,FORT WORTH,"EVCARCO, INC.",,,,,12761976.0,1231.0,10-K,,263526039.0,1934 Act,000-53978,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],TX,NV,7703 SAND STREET,,76118
9445,1459188,,818-224-5678,1459188,CALABASAS,"FUEL DOCTOR HOLDINGS, INC.",,,20090320.0,,12862166.0,1231.0,10-K,Silverhill Management Services Inc,262274999.0,1934 Act,333-161052,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],CA,DE,23961 CRAFTSMAN ROAD L,,91302
9570,1467858,,313.667.1500,1467858,DETROIT,General Motors Co,,,,,19572051.0,1231.0,10-K,,270756180.0,1934 Act,001-34960,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],MI,,300 RENAISSANCE CENTER,,48265-3000
9793,1479526,,(86)0451-84800733,1479526,"HARBIN, HEILONGJIANG","China Modern Agricultural Information, Inc.",,,20091228.0,,171113710.0,630.0,10-K/A,TRADE LINK WHOLESALERS INC.,0.0,1934 Act,000-54510,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],F4,NV,"NO. A09, WUZHOU SUN TOWN","LIMIN AVENUE, LIMIN DEVELOPMENT DISTRICT",0
9875,1485469,,248-675-6000,1485469,LIVONIA,"Tower International, Inc.",,,20100225.0,,19635968.0,1231.0,10-K,"Tower Automotive, LLC",208879584.0,1934 Act,001-34903,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,17672 LAUREL PARK DRIVE NORTH,SUITE 400E,48152
10007,1491029,,801-674-3757,1491029,TAYLORSVILLE,RVPlus Inc.,,,,,121027968.0,1231.0,10-K,,271986126.0,1934 Act,333-168768,MOTOR VEHICLE PARTS & ACCESSORIES [3714],UT,DE,4278 S. CHEGWIDDEN LANE,,84123
10114,1495899,,505-842-5201,1495899,ALBUQUERQUE,"Enerpulse Technologies, Inc.",,,20100702.0,,161887240.0,1231.0,10-K,SMSA Katy Acquisition Corp,272969241.0,1934 Act,000-54092,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NM,NV,2451 ALAMO AVENUE SE,,87106
10158,1497632,,877-449-8842,1497632,NEWPORT BEACH,Green Automotive Co,,,20100728.0,,14730538.0,1231.0,10-K,Matter of Time I Co.,223680581.0,1934 Act,000-54049,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,,23 CORPORATE PLACE,SUITE 150,92660
10179,1498148,,(702) 990-3271,1498148,RENO,Artificial Intelligence Technology Solutions Inc.,,,20100803.0,,191066219.0,228.0,10-K/A,ON THE MOVE SYSTEMS CORP.,272343603.0,1934 Act,000-55079,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NV,NV,1 EAST LIBERTY,6TH FLOOR,89501
10536,1513153,,800-247-9753,1513153,AUBURN HILLS,FCA US LLC,,,20110215.0,,15673485.0,1231.0,10-K,Chrysler Group LLC,270187394.0,1934 Act,000-54282,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],MI,DE,1000 CHRYSLER DRIVE,,48326
10714,1521332,,353-1-259-7013,1521332,DUBLIN,Aptiv PLC,,,20110520.0,,19563809.0,1231.0,10-K,Delphi Automotive PLC,0.0,1934 Act,001-35346,MOTOR VEHICLE PARTS & ACCESSORIES [3714],L2,Y9,5 HANOVER QUAY,GRAND CANAL DOCK,2
10802,1526726,,587-984-2321,1526726,LAS VEGAS,HORIZON MINERALS CORP.,,,20110726.0,,17731366.0,1231.0,10-K,SAFE DYNAMICS CORP,412281448.0,1934 Act,333-176798,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NV,,9101 WEST SAHARA AVENUE,SUITE 105 - 197,89117
10840,1528098,,800-888-8945,1528098,CORONA,"Saleen Automotive, Inc.",,,20110816.0,,191137226.0,331.0,10-K,"W270, INC.",452808694.0,1934 Act,000-55236,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,NV,2735 WARDLOW ROAD,,92882
