,ABS ASSET CLASS:            ,BUSINESS PHONE,CENTRAL INDEX KEY,CITY,COMPANY CONFORMED NAME,CONFORMED PERIOD OF REPORT,DATE AS OF CHANGE,DATE OF NAME CHANGE,FILED AS OF DATE,FILM NUMBER,FISCAL YEAR END,FORM TYPE,FORMER CONFORMED NAME,IRS NUMBER,SEC ACT,SEC FILE NUMBER,STANDARD INDUSTRIAL CLASSIFICATION,STATE,STATE OF INCORPORATION,STREET 1,STREET 2,ZIP
1049505,,713-934-3856,0001049505,HOUSTON,US DATAWORKS INC,,,19971112,,12962404,0331,10-K,NEW WORLD PUBLISHING INC /CO/,841290152,1934 Act,001-15835,SERVICES-PREPACKAGED SOFTWARE [7372],TX,NV,5301 HOLLISTER ROAD,SUITE 250,77040
1049521,,9782561300,0001049521,ANDOVER,MERCURY SYSTEMS INC,,,19971112,,191029863,0626,10-K,MERCURY COMPUTER SYSTEMS INC,042741391,1934 Act,000-23599,ELECTRONIC COMPONENTS & ACCESSORIES [3670],MA,MA,50 MINUTEMAN ROAD,,01810
1049551,,1-866-517-5455,0001049551,NEW YORK,NB CAPITAL CORP,,,,,08719203,1231,10-K,,522063921,1934 Act,001-14103,REAL ESTATE INVESTMENT TRUSTS [6798],NY,MD,65 EAST 55TH STREET,,10022
1049606,,9724481400,0001049606,DALLAS,COMPX INTERNATIONAL INC,,,,,19637892,1231,10-K,,570981653,1934 Act,001-13905,"CUTLERY, HANDTOOLS & GENERAL HARDWARE [3420]",TX,DE,5430 LBJ FREEWAY,SUITE 1700,75240-2697
1049782,,617-425-4600,0001049782,BOSTON,BROOKLINE BANCORP INC,,,,,19642604,1231,10-K,,000000000,1934 Act,000-23695,"SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035]",MA,DE,131 CLARENDON STREET,,02116
1049861,,905-943-9996,0001049861,MARKHAM,"ASPIRE INTERNATIONAL, INC.",,,19971117,,11763123,1231,10-K,GRIFFIN INDUSTRIES INC,911869317,1934 Act,000-23689,SEMICONDUCTORS & RELATED DEVICES [3674],A6,MD,18 CROWN STEEL DRIVE,UNIT 310,L3R 9X8
1050007,,4356556000,0001050007,PARK CITY,NUTRACEUTICAL INTERNATIONAL CORP,,,,,162004928,0930,10-K,,870515089,1934 Act,000-23731,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833],UT,DE,1400 KEARNS BOULEVARD,2ND FLOOR,84060
1050031,,949-975-1550,0001050031,NEWPORT BEACH,SM&A,,,19980123,,08675253,1231,10-K,STEVEN MYERS & ASSOCIATES INC,330080929,1934 Act,000-23585,SERVICES-MANAGEMENT CONSULTING SERVICES [8742],CA,DE,4695 MACARTHUR COURT,8TH FLOOR,92660
1050112,,2127545560,0001050112,NEW YORK,ANTHRACITE CAPITAL INC,,,19971121,,09719051,1231,10-K/A,ANTHRACITE MORTGAGE CAPITAL INC,133978906,1934 Act,001-13937,REAL ESTATE INVESTMENT TRUSTS [6798],NY,MD,40 EAST 52ND STREET,,10022
1050180,,888-703-1122,0001050180,WALTHAM,Phase Forward Inc,,,19971124,,10640855,1231,10-K,PHASE FORWARD INC,043386549,1934 Act,000-50839,"SERVICES-BUSINESS SERVICES, NEC [7389]",MA,DE,77 FOURTH AVENUE,,02451
1750,,6302272000,0000001750,WOOD DALE,AAR CORP,,,19700204,,19961978,0531,10-K,ALLEN AIRCRAFT RADIO INC,362334820,1934 Act,001-06263,AIRCRAFT & PARTS [3720],IL,DE,1100 N WOOD DALE RD,,60191
1800,,2246676100,0000001800,ABBOTT PARK,ABBOTT LABORATORIES,,,,,19625847,1231,10-K,,360698440,1934 Act,001-02189,PHARMACEUTICAL PREPARATIONS [2834],IL,IL,100 ABBOTT PARK ROAD,,60064-3500
1050377,,6036832000,0001050377,MERRIMACK,PC CONNECTION INC,,,,,19575272,1231,10-K,,020513618,1934 Act,000-23827,RETAIL-CATALOG & MAIL-ORDER HOUSES [5961],NH,DE,ROUTE 101A,730 MILFORD RD,03054
1853,,949-888-8060,0000001853,IRVINE,"MotivNation, Inc.",,,20000101,,10831929,1231,10-K,ABERDEEN IDAHO MINING CO,826008492,1934 Act,000-50048,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,,"18101 VON KARMAN AVE., SUITE 330",,92612
1050441,,240-497-2075,0001050441,BETHESDA,EAGLE BANCORP INC,,,,,19648695,1231,10-K,,522061461,1934 Act,000-25923,STATE COMMERCIAL BANKS [6022],MD,MD,7830 OLD GEROGETOWN ROAD,3RD FLOOR,20814
1050446,,703-848-8600,0001050446,TYSONS CORNER,MICROSTRATEGY Inc,,,19971126,,19619072,1231,10-K,MICROSTRATEGY INC,510323571,1934 Act,000-24435,SERVICES-PREPACKAGED SOFTWARE [7372],VA,DE,1850 TOWERS CRESCENT PLAZA,,22182
1923,,7709530304,0000001923,ATLANTA,"SERVIDYNE, INC.",,,19920703,,11996949,0430,10-K,ABRAMS INDUSTRIES INC,580522129,1934 Act,000-10146,GENERAL BUILDING CONTRACTORS - NONRESIDENTIAL BUILDINGS [1540],GA,GA,"1945 THE EXCHANGE, SE",SUITE 300,30339-2029
1961,,617-725-8900,0000001961,BROOKLINE,WORLDS INC,,,19980213,,19643150,1231,10-K,WORLDS INC,221848316,1934 Act,000-24115,SERVICES-PREPACKAGED SOFTWARE [7372],MA,NJ,11 ROYAL ROAD,,02445
1050550,,510-743-1200,0001050550,FREMONT,VOLTERRA SEMICONDUCTOR CORP,,,,,13669757,1231,10-K,,943251865,1934 Act,000-50857,SEMICONDUCTORS & RELATED DEVICES [3674],CA,,47467 FREMONT BLVD.,,94538
1050606,,8059870400,0001050606,CAMARILLO,"SALEM MEDIA GROUP, INC. /DE/",,,19971201,,19676463,1231,10-K,SALEM COMMUNICATIONS CORP /DE/,770121400,1934 Act,000-26497,RADIO BROADCASTING STATIONS [4832],CA,DE,4880 SANTA ROSA RD,,93012
2034,,5166276000,0000002034,PORT WASHINGTON,ACETO CORP,,,19851203,,181138951,0630,10-K/A,ACETO CHEMICAL CO INC,111720520,1934 Act,000-04217,WHOLESALE-DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES [5122],NY,NY,4 TRI HARBOR COURT,,11050
2098,,203-254-6060,0000002098,FAIRFIELD,ACME UNITED CORP,,,19710713,,19685784,1231,10-K,ACME SHEAR CO,060236700,1934 Act,001-07698,"CUTLERY, HANDTOOLS & GENERAL HARDWARE [3420]",CT,CT,55 WALLS DRIVE,,06824
1050690,,6097370426,0001050690,PENNINGTON,MERCER INSURANCE GROUP INC,,,,,11691521,1231,10-K,,232939601,1934 Act,000-25425,"FIRE, MARINE & CASUALTY INSURANCE [6331]",NJ,PA,10 N HWY 1,,08534
1050691,,86-574-56169308,0001050691,NINGBO,DRAGON INTERNATIONAL GROUP CORP.,,,19971202,,081095606,0630,10-K,LBF CORP,980177646,1934 Act,000-23485,BLANK CHECKS [6770],F4,NV,"BLDG 14,  SUITE A09, 29 DONGDU RD","INTERNATIONAL TRADING CENTER,",315000
2135,,2148416111,0000002135,DALLAS,AFFILIATED COMPUTER SERVICES INC,,,19721130,,091039983,1231,10-K,AFFILIATED COMPUTER SYSTEMS INC,510310342,1934 Act,001-12665,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374],TX,DE,2828 N HASKELL,PO BOX 219002,75204
1050743,,9082340700,0001050743,BEDMINSTER,PEAPACK GLADSTONE FINANCIAL CORP,,,,,19680078,1231,10-K,,223537895,1934 Act,001-16197,"COMMERCIAL BANKS, NEC [6029]",NJ,NJ,500 HILLS DRIVE,,07921
2178,,713-881-3600,0000002178,HOUSTON,"ADAMS RESOURCES & ENERGY, INC.",,,19790620,,19670548,1231,10-K,ADA RESOURCES INC,741753147,1934 Act,001-07908,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS) [5172],TX,DE,P O BOX 844,,77001
2186,,321-984-1414,0000002186,WEST MELBOURNE,"BK Technologies, Inc.",,,19920703,,19638250,1231,10-K,ADAGE INC,593486297,1934 Act,001-32644,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663],FL,NV,7100 TECHNOLOGY DRIVE,,32904
1050776,,5103608000,0001050776,FREMONT,VIRAGE LOGIC CORP,,,,,10554755,0930,10-K/A,,770416232,1934 Act,000-31089,SEMICONDUCTORS & RELATED DEVICES [3674],CA,DE,47100 BAYSIDE PARKWAY,,94538
1050797,,503 985 4000,0001050797,PORTLAND,COLUMBIA SPORTSWEAR CO,,,,,19621695,1231,10-K,,930498284,1934 Act,000-23939,APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL [2300],OR,OR,14375 NW SCIENCE PARK DRIVE,,97229
1050816,,6174828260,0001050816,BOSTON,BELAIR CAPITAL FUND LLC,,,,,08656786,,10-K,,043404037,1934 Act,000-25767,"INVESTORS, NEC [6799]",MA,,THE EATON VANCE BUILDING,255 STATE STREET,02109
1050825,,6162472710,0001050825,GRAND RAPIDS,STEELCASE INC,,,,,19745637,0228,10-K,,380819050,1934 Act,001-13873,OFFICE FURNITURE (NO WOOD) [2522],MI,MI,901 44TH STREET SE,,49508
1050915,,713-629-7600,0001050915,HOUSTON,QUANTA SERVICES INC,,,,,19644753,1231,10-K,,742851603,1934 Act,001-13831,ELECTRICAL WORK [1731],TX,DE,2800 POST OAK BLVD SUITE 2600,SUITE 2600,77056-6175
1050957,,800-798-3389,0001050957,BOWLING GREEN,"BAYOU CITY EXPLORATION, INC.",,,19990922,,13762720,1231,10-K,BLUE RIDGE ENERGY INC,611306702,1934 Act,000-27443,CRUDE PETROLEUM & NATURAL GAS [1311],KY,,632 ADAMS STREET,SUITE 700,42101
1051009,,818 907 9975,0001051009,SHERMAN OAKS,SHOE PAVILION INC,,,,,08716652,1231,10-K,,943289691,1934 Act,000-23669,RETAIL-SHOE STORES [5661],CA,DE,"13245 RIVERSIDE DRIVE, SUITE 450",,91423
1051034,,7139749071,0001051034,HOUSTON,W-H ENERGY SERVICES INC,,,19971208,,08651987,1231,10-K,W-H HOLDINGS INC,760281502,1934 Act,001-31346,OIL & GAS FILED MACHINERY & EQUIPMENT [3533],TX,TX,10370 RICHMOND SUITE 990,,77042
2488,,(408) 749-4000,0000002488,SANTA CLARA,ADVANCED MICRO DEVICES INC,,,,,19580553,1229,10-K,,941692300,1934 Act,001-07882,SEMICONDUCTORS & RELATED DEVICES [3674],CA,DE,2485 AUGUSTINE DRIVE,,95054
2491,,7028967700,0000002491,LAS VEGAS,"BALLY TECHNOLOGIES, INC.",,,19890206,,141164084,0630,10-K/A,GAMING & TECHNOLOGY INC,880104066,1934 Act,001-31558,SERVICES-PREPACKAGED SOFTWARE [7372],NV,NV,6601 S. BERMUDA RD.,,89119
1051114,,678-584-4000,0001051114,DULUTH,INNOTRAC CORP,,,,,13724758,1231,10-K,,581592285,1934 Act,000-23741,"SERVICES-BUSINESS SERVICES, NEC [7389]",GA,GA,6655 SUGARLOAF PARKWAY,,30097
2601,,5166946700,0000002601,PLAINVIEW,AEROFLEX INC,,,19851119,,101054957,0816,10-K,AEROFLEX LABORATORIES INC,111974412,1934 Act,033-88878,SEMICONDUCTORS & RELATED DEVICES [3674],NY,DE,35 S SERVICE ROAD,,11803
1051251,,2122092500,0001051251,NEW YORK,J CREW GROUP INC,,,,,19694615,0202,10-K,,222894486,1934 Act,001-32927,RETAIL-APPAREL & ACCESSORY STORES [5600],NY,DE,770 BROADWAY,,10003
1051286,,3344762720,0001051286,MOBILE,ENERGYSOUTH INC,,,,,08517918,0930,10-K/A,,582358943,1934 Act,000-29604,NATURAL GAS DISTRIBUTION [4924],AL,AL,2828 DUAPHIA STREET,,36606
1051343,,8056925821,0001051343,GOLETA,COMMUNITY WEST BANCSHARES /,,,,,19669991,1231,10-K,,770446957,1934 Act,000-23575,STATE COMMERCIAL BANKS [6022],CA,CA,445 PINE AVE,,93117
1051379,,7088651053,0001051379,MELROSE PARK,MIDWEST BANC HOLDINGS INC,,,,,10717568,1231,10-K,,363252484,1934 Act,001-13735,NATIONAL COMMERCIAL BANKS [6021],IL,DE,501 WEST NORTH AVENUE,,60160
1051470,,7135703000,0001051470,HOUSTON,CROWN CASTLE INTERNATIONAL CORP,,,,,19629935,1231,10-K,,760470458,1934 Act,001-16441,REAL ESTATE INVESTMENT TRUSTS [6798],TX,DE,1220 AUGUSTA DRIVE,SUITE 600,77057
1051473,,3307643131,0001051473,MEDINA,WESTERN RESERVE BANCORP INC,,,,,12725469,1231,10-K,,311566623,1934 Act,000-51264,STATE COMMERCIAL BANKS [6022],OH,,P.O. BOX 585,N/A,44258-0585
1051488,,714-953-3503,0001051488,SANTA ANA,Integrated Healthcare Holdings Inc,,,19971216,,13941944,0331,10-K,FIRST DELTAVISION INC,870573331,1934 Act,000-23511,SERVICES-HOSPITALS [8060],CA,,1301 N. TUSTIN AVENUE,,92705
1051512,,3126301900,0001051512,CHICAGO,TELEPHONE & DATA SYSTEMS INC /DE/,,,,,19624290,1231,10-K,,362669023,1934 Act,001-14157,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813],IL,DE,30 NORTH LASALLE STREET,STE 4000,60602
1051514,,215-619-3200,0001051514,HORSHAM,"STRATA Skin Sciences, Inc.",,,19971216,,18730126,1231,10-K,ELECTRO OPTICAL SCIENCES INC /NY,133986004,1934 Act,000-51481,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841],PA,,100 LAKESIDE DRIVE,SUITE 100,19044
2969,,6104814911,0000002969,ALLENTOWN,AIR PRODUCTS & CHEMICALS INC /DE/,,,,,181195271,0930,10-K,,231274455,1934 Act,001-04534,INDUSTRIAL INORGANIC CHEMICALS [2810],PA,DE,7201 HAMILTON BLVD,,18195-1501
1051591,,2125323553,0001051591,WESTPORT,GSV INC,,,19971217,,09717829,1231,10-K,CYBERSHOP INTERNATIONAL INC,133979226,1934 Act,000-23901,CRUDE PETROLEUM & NATURAL GAS [1311],CT,DE,191 POST ROAD WEST,,06880
1051627,,510.438.4734,0001051627,FREMONT,AXT INC,,,19971217,,19672430,1231,10-K,AMERICAN XTAL TECHNOLOGY,943031310,1934 Act,000-24085,SEMICONDUCTORS & RELATED DEVICES [3674],CA,DE,4281 TECHNOLOGY DR.,,94538
3116,,847-279-6100,0000003116,LAKE FOREST,AKORN INC,,,,,19648659,1231,10-K,,720717400,1934 Act,001-32360,PHARMACEUTICAL PREPARATIONS [2834],IL,LA,"1925 W. FIELD COURT, SUITE 300",,60045
3146,,2053262742,0000003146,BIRMINGHAM,SPIRE ALABAMA INC,,,19920703,,181186828,0930,10-K,ALABAMA GAS CORP,630022000,1934 Act,002-38960,NATURAL GAS DISTRIBUTION [4924],AL,AL,2101 6TH AVENUE NORTH,,35203
3153,,4045065000,0001160661,ATLANTA,SOUTHERN POWER CO,,,19951129,,19616554,1231,10-K,AGL RESOURCES INC,582598670,1934 Act,001-37803,ELECTRIC SERVICES [4911],GA,GA,30 IVAN ALLEN JR. BLVD,P O BOX 2641,30308
1051741,,7168195500,0001051741,BUFFALO,FIRST NIAGARA FINANCIAL GROUP INC,,,19971218,,161602574,1208,10-K/A,NIAGARA BANCORP INC,161545669,1934 Act,001-35390,NATIONAL COMMERCIAL BANKS [6021],NY,DE,726 EXCHANGE STREET,SUITE 618,14210
1051771,,7043571000,0001051771,CHARLOTTE,BELK INC,,,,,15769037,0128,10-K,,562058574,1934 Act,000-26207,RETAIL-DEPARTMENT STORES [5311],NC,,2801 WEST TYVOLA ROAD,,28217-4500
3197,,(513) 458-2600,0000003197,CINCINNATI,CECO ENVIRONMENTAL CORP,,,19851210,,19664307,1231,10-K,ALARM PRODUCTS INTERNATIONAL INC,132566064,1934 Act,000-07099,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFYING EQUIP [3564],OH,DE,4625 RED BANK ROAD,SUITE 200,45227
3202,,206.392.5040,0000003202,SEATTLE,ALASKA AIRLINES INC,,,19691119,,10628789,1231,10-K,STAR AIRLINES,920009235,1934 Act,000-19978,"AIR TRANSPORTATION, SCHEDULED [4512]",WA,AK,P O BOX 68900,19300 PACIFIC HIGHWAY SOUTH,98168-0900
1051825,,3172303947,0001051825,INDIANAPOLIS,CHAMPIONSHIP LIQUIDATING TRUST,,,19971219,,08717134,1231,10-K,CHAMPIONSHIP AUTO RACING TEAMS INC,383389456,1934 Act,001-13925,"SERVICES-RACING, INCLUDING TRACK OPERATION [7948]",IN,DE,4667 AUSTIN TRACE,,46077
1051827,,2124491000,0001051829,NEW YORK,MERRILL LYNCH PREFERRED CAPITAL TRUST III,,,,,13697684,1231,10-K,,137139561,1934 Act,001-07182-06,"INVESTORS, NEC [6799]",NY,DE,4 WORLD FINANCIAL CENTER,250 VESEY ST N TOWER,10080
1051828,,2124492942,0001051830,NEW YORK,MERRILL LYNCH PREFERRED CAPITAL TRUST IV,,,,,13697729,1228,10-K,,137139562,1934 Act,001-07182-08,"INVESTORS, NEC [6799]",NY,DE,4 WORLD FINANCIAL CENTER,250 VESEY ST N TOWER,10080
1051829,,2124491000,0001051829,NEW YORK,MERRILL LYNCH PREFERRED CAPITAL TRUST III,,,,,13697684,1231,10-K,,137139561,1934 Act,001-07182-06,"INVESTORS, NEC [6799]",NY,DE,4 WORLD FINANCIAL CENTER,250 VESEY ST N TOWER,10080
1051830,,2124492942,0001051830,NEW YORK,MERRILL LYNCH PREFERRED CAPITAL TRUST IV,,,,,13697729,1228,10-K,,137139562,1934 Act,001-07182-08,"INVESTORS, NEC [6799]",NY,DE,4 WORLD FINANCIAL CENTER,250 VESEY ST N TOWER,10080
1051848,,6022659200,0001051848,PHOENIX,CSK AUTO CORP,,,,,08874534,0204,10-K/A,,860765798,1934 Act,001-13927,RETAIL-AUTO & HOME SUPPLY STORES [5531],AZ,DE,645 E MISSOURI AVENUE,,85012
1051871,,7048685200,0001051871,GASTONIA,CITIZENS SOUTH BANKING CORP,,,19971222,,12729524,1231,10-K,GASTON FEDERAL BANCORP INC,542069979,1934 Act,000-23971,"SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035]",NC,DE,519 SOUTH NEW HOPE ROAD,,28054-4040
3453,,808-848-1211,0000003453,HONOLULU,"Matson, Inc.",,,19920703,,19737992,1231,10-K/A,ALEXANDER & BALDWIN INC,990032630,1934 Act,001-34187,WATER TRANSPORTATION [4400],HI,HI,1411 SAND ISLAND PARKWAY,,96819
1052045,,901-597-1400,0001052045,MEMPHIS,"SERVICEMASTER CO, LLC",,,19971229,,15664756,1231,10-K,SERVICEMASTER CO,901036521,1934 Act,001-14762,SERVICES-TO DWELLINGS & OTHER BUILDINGS [7340],TN,DE,860 RIDGE LAKE BOULEVARD,,38120
1052054,,3038021000,0001052054,ENGLEWOOD,EVOLVING SYSTEMS INC,,,,,19732603,1231,10-K,,841010843,1934 Act,001-34261,SERVICES-COMPUTER PROGRAMMING SERVICES [7371],CO,DE,"9800 PYRAMID COURT, SUITE 400",,80112
3499,,201-587-8541,0000003499,PARAMUS,ALEXANDERS INC,,,,,19581997,1231,10-K,,510100517,1934 Act,001-06064,REAL ESTATE INVESTMENT TRUSTS [6798],NJ,DE,210 ROUTE 4 EAST,,07652
1052100,,9132362000,0001052100,SHAWNEE MISSION,WADDELL & REED FINANCIAL INC,,,,,19625363,1231,10-K,,510261715,1934 Act,001-13913,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",KS,DE,PO BOX 29217,,66201-9217
1052101,,4102565000,0001052101,BALTIMORE,BCSB BANKCORP INC,,,,,08554814,0930,10-K/A,,522108333,1934 Act,000-24589,"SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035]",MD,,4111 E JOPPA ROAD,SUITE 300,21236
3545,,239-226-2000,0000003545,"FT. MYERS,",ALICO INC,,,19740219,,19542742,0930,10-K/A,ALICO LAND DEVELOPMENT CO,590906081,1934 Act,000-00261,AGRICULTURE PRODUCTION - CROPS [0100],FL,FL,10070 DANIELS INTERSTATE COURT STE. 100,,33913
3570,,7133755000,0000003570,HOUSTON,CHENIERE ENERGY INC,,,19931004,,19630723,1231,10-K,ALL AMERICAN BURGER INC,954352386,1934 Act,001-16383,NATURAL GAS DISTRIBUTION [4924],TX,DE,700 MILAM ST.,SUITE 1900,77002
3673,,7248373000,0000003673,GREENSBURG,"ALLEGHENY ENERGY, INC",,,19660908,,11633049,1231,10-K,WEST PENN ELECTRIC CO,135531602,1934 Act,001-00267,ELECTRIC SERVICES [4911],PA,MD,800 CABIN HILL DRIVE,,15601
1052257,,847-549-6002,0001052257,MUNDELEIN,"Agritech Worldwide, Inc.",,,19980512,,17764042,1231,10-K/A,CIRCLE GROUP INTERNET INC,364197173,1934 Act,001-32134,GRAIN MILL PRODUCTS [2040],IL,NV,1011 CAMPUS DRIVE,,60060
1052284,,212-797-9877,0001052284,NEW YORK,"Tongli Pharmaceuticals (USA), Inc.",,,19990614,,13941963,1231,10-K,AIM SMART CORP,841090791,1934 Act,000-52954,PHARMACEUTICAL PREPARATIONS [2834],NY,DE,"125 MAIDEN LANE, SUITE 309",,10038
1052354,,312-881-6800,0001052354,CHICAGO,MAN AHL DIVERSIFIED I LP,,,,,19714072,1231,10-K,,000000000,1934 Act,000-53043, [6221],IL,DE,123 NORTH WACKER DRIVE,SUITE 2800,60606
3906,,2023311112,0000003906,WASHINGTON,ALLIED CAPITAL CORP,,,19920703,,10640811,1231,10-K,ALLIED LENDING CORP,521081052,1934 Act,814-00138,,DC,MD,1919 PENNSYLVANIA AVENUE NW,1666 K STREET NW,20006
3952,,7038475268,0000003952,VIENNA,ALLIED DEFENSE GROUP INC,,,19880601,,13726724,1231,10-K,ALLIED RESEARCH ASSOCIATES INC,042281015,1934 Act,001-11376,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES) [3480]",VA,DE,8000 TOWERS CRESCENT DRIVE,STE 750,22182
3982,,713-896-7430,0000003982,HOUSTON,Allis Chalmers Energy Inc.,,,19710614,,111072317,1231,10-K/A,ALLIS CHALMERS MANUFACTURING CO,273321250,1934 Act,001-02199,"OIL, GAS FIELD SERVICES, NBC [1389]",TX,,11125 EQUITY DRIVE,SUITE 200,77041
1052595,,5094596100,0001052595,SPOKANE,Red Lion Hotels CORP,,,19980108,,19669421,1231,10-K,CAVANAUGHS HOSPITALITY CORP,911032187,1934 Act,001-13957,HOTELS & MOTELS [7011],WA,WA,201 W NORTH RIVER DRIVE,SUITE 100,99201
1052635,,2124491000,0001052636,NEW YORK,MERRILL LYNCH PREFERRED CAPITAL TRUST V,,,,,13697764,1228,10-K,,000000000,1934 Act,001-07182-10,"INVESTORS, NEC [6799]",NY,DE,4 WORLD FINANCIAL CENTER,250 VESEY ST N TOWER,10080
1052636,,2124491000,0001052636,NEW YORK,MERRILL LYNCH PREFERRED CAPITAL TRUST V,,,,,13697764,1228,10-K,,000000000,1934 Act,001-07182-10,"INVESTORS, NEC [6799]",NY,DE,4 WORLD FINANCIAL CENTER,250 VESEY ST N TOWER,10080
1052671,,604 460 8487,0001052671,MAPLE RIDGE,Welwind Energy International CORP,,,20000410,,101271958,1231,10-K/A,FORESTINDUSTRY COM INC,980207081,1934 Act,000-26673,RETAIL-FOOD STORES [5400],A1,DE,10-20172 113B AVENUE,,V2X 0Y9
