,source,target,relation
0,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution,Sells to
1,KEYSTONE AUTOMOTIVE OPERATIONS INC,Retail,Sells to
3,KEYSTONE AUTOMOTIVE OPERATIONS INC,Industry,Sells to
4,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company,Sells to
6,KEYSTONE AUTOMOTIVE OPERATIONS INC,Retail Operations,Sells to
7,KEYSTONE AUTOMOTIVE OPERATIONS INC,the Distribution Segment,Sells to
0,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Tier 1,Supply
1,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,General Motors Company,Supply
2,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,GM,Supply
5,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Metal Forming,Supply
6,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AAM,Supply
10,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Ford,Supply
12,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Casting Sale,Supply
13,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,MPG,Supply
14,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,USM Mexico Manufacturing LLC,Supply
17,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,HAAC,Supply
18,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,JAC,Supply
19,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,"Beiqi Foton Motor Co., Ltd.",Supply
20,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Business Leaders,Supply
21,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Detroit Economic Club,Supply
22,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Detroit Regional Chamber,Supply
23,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Great Lakes Council Boy Scouts of America,Supply
24,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Boys & Girls Club of Southeast Michigan,Supply
25,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the National Association of Manufacturers,Supply
26,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,NAM,Supply
27,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Original Equipment Suppliers Association,Supply
28,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,OESA,Supply
29,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,"Amerisure Mutual Holdings, Inc.",Supply
30,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Amerisure Companies,Supply
31,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Miami University Business Advisory Council,Supply
32,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the General Motors Supplier Council,Supply
33,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the FCA NAFTA Supplier Advisory Council,Supply
34,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,USMCA,Supply
35,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,NAFTA,Supply
43,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Driveline,Supply
45,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Original Equipment Manufacturers,Supply
48,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,EBITDA,Supply
49,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Adjusted EBITDA,Supply
52,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA US,Supply
54,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA,Supply
57,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Interest,Supply
63,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Casting,Supply
65,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Tier,Supply
66,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,USM,Supply
68,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Guanajuato Manufacturing Complex,Supply
75,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,"AAM, Inc.",Supply
76,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,"Metaldyne Performance Group, Inc.",Supply
77,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,MPG Inc.,Supply
80,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,"American Axle & Manufacturing, Inc.",Supply
81,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,"Alpha SPV I, Inc.",Supply
82,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,"American Axle & Manufacturing Holdings, Inc.",Supply
83,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,U.S. Bank National Association,Supply
85,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Metaldyne Performance Group Inc.,Supply
0,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,CastingMember,customers
2,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,GM,customers
3,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA,customers
4,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Ford,customers
5,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Mercedes-AMG,customers
6,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AAM,customers
8,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Diversification of Customer,customers
13,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Geely Auto Group,customers
14,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,MPG,customers
15,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Liuzhou AAM,customers
16,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,OEM,customers
17,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,USMCA,customers
18,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,NAFTA,customers
21,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Mitec Automotive AG,customers
22,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Mitec,customers
24,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Driveline,customers
27,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Metal Forming,customers
31,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Driveline Segment Adjusted EBITDA,customers
33,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,General Motors Company,customers
35,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA US,customers
40,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FASB,customers
41,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,ASU,customers
46,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Powertrain,customers
47,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,ASC,customers
48,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,NOTES,customers
49,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,CONSOLIDATED FINANCIAL,customers
51,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Tier,customers
0,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,GM,Sells to
1,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA,Sells to
14,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Metal Forming,Sells to
15,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Driveline,Sells to
18,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA US LLC,Sells to
19,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Unaudited Pro Forma Financial Information Pro,Sells to
20,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AAM,Sells to
21,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,MPG,Sells to
0,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,GM,dependent on
1,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA,dependent on
2,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Guanajuato Manufacturing Complex,dependent on
0,"CurAegis Technologies, Inc.",Company,Supply
2,"CurAegis Technologies, Inc.",Total Engineering and Development,Supply
0,"CurAegis Technologies, Inc.",Company,customers
4,"CurAegis Technologies, Inc.",Z-Coach Aviation,customers
6,"CurAegis Technologies, Inc.",CURA,customers
9,"CurAegis Technologies, Inc.",FASB,customers
14,"CurAegis Technologies, Inc.",Chrysler Corporation,customers
15,"CurAegis Technologies, Inc.",Ford Motor Company,customers
16,"CurAegis Technologies, Inc.",General Motors,customers
17,"CurAegis Technologies, Inc.",Committee,customers
0,LKQ CORP,CustomerandsupplierrelationshipsDomain,Supply
2,LKQ CORP,CustomerandsupplierrelationshipsMember,Supply
6,LKQ CORP,MaximumMember,Supply
8,LKQ CORP,MinimumMember,Supply
10,LKQ CORP,the European Union,Supply
11,LKQ CORP,Wholesale - North America,Supply
12,LKQ CORP,Competition Industry,Supply
13,LKQ CORP,the Vitro Agreement,Supply
14,LKQ CORP,The Purchase and Supply Agreement,Supply
15,LKQ CORP,the Intellectual Property Agreement,Supply
16,LKQ CORP,the Transition Services Agreement,Supply
17,LKQ CORP,Vitro,Supply
19,LKQ CORP,the Purchase and Supply Agreement,Supply
20,LKQ CORP,General and Administrative Expenses Selling,Supply
21,LKQ CORP,Total Trade,Supply
22,LKQ CORP,Straight,Supply
23,LKQ CORP,Software,Supply
26,LKQ CORP,Information Systems (North America,Supply
27,LKQ CORP,"Keystone Automotive Operations, Inc.",Supply
28,LKQ CORP,U.S. Bank National Association,Supply
29,LKQ CORP,Trustee,Supply
30,LKQ CORP,SEC,Supply
31,LKQ CORP,Guarantors,Supply
34,LKQ CORP,Company,Supply
56,LKQ CORP,LKQ Italia Bondco S.p.A.,Supply
58,LKQ CORP,ELIT CZ,Supply
59,LKQ CORP,Rhiag-Inter Auto Parts Italia S.p.A.,Supply
61,LKQ CORP,Company’s,Supply
63,LKQ CORP,Bertolotti S.p.A.,Supply
68,LKQ CORP,BNP Paribas Trust Corporation UK Limited,Supply
94,LKQ CORP,European Holdings B.V.,Supply
0,LKQ CORP,CustomerandsupplierrelationshipsDomain,customers
2,LKQ CORP,CustomerandsupplierrelationshipsMember,customers
6,LKQ CORP,MaximumMember,customers
8,LKQ CORP,MinimumMember,customers
10,LKQ CORP,the European Union,customers
11,LKQ CORP,ERP,customers
12,LKQ CORP,State Farm,customers
13,LKQ CORP,U.S. Customs and Border Protection,customers
14,LKQ CORP,Aviation,customers
15,LKQ CORP,Stahlgruber,customers
16,LKQ CORP,Rhiag,customers
18,LKQ CORP,Warn,customers
20,LKQ CORP,PGW,customers
21,LKQ CORP,Self Service,customers
22,LKQ CORP,General and Administrative Expenses Selling,customers
24,LKQ CORP,Total Trade,customers
25,LKQ CORP,Straight,customers
26,LKQ CORP,Software,customers
29,LKQ CORP,Receivables,customers
30,LKQ CORP,the Consolidated Balance Sheets,customers
32,LKQ CORP,MUFG,customers
33,LKQ CORP,LKQ,customers
34,LKQ CORP,Company,customers
0,CLARCOR INC.,Company,Supply
3,CLARCOR INC.,CIC,Supply
4,CLARCOR INC.,CLARCOR,Supply
5,CLARCOR INC.,Industrial/Environmental Filtration,Supply
6,CLARCOR INC.,General Electric Company,Supply
7,CLARCOR INC.,GE,Supply
9,CLARCOR INC.,CLARCOR Industrial Air,Supply
13,CLARCOR INC.,SmartParts,Supply
20,CLARCOR INC.,the New System,Supply
25,CLARCOR INC.,Parker-Hannifin,Supply
28,CLARCOR INC.,Stanadyne,Supply
29,CLARCOR INC.,Heavy,Supply
30,CLARCOR INC.,ASU,Supply
32,CLARCOR INC.,FibeRio,Supply
33,CLARCOR INC.,TDC,Supply
34,CLARCOR INC.,Filter Resources,Supply
37,CLARCOR INC.,the Credit Facility,Supply
41,CLARCOR INC.,the Industrial/Environmental Filtration,Supply
43,CLARCOR INC.,the European Union,Supply
62,CLARCOR INC.,Company’s,Supply
66,CLARCOR INC.,CONSOLIDATED FINANCIAL,Supply
67,CLARCOR INC.,CLARCOR Engine Mobile Solutions,Supply
68,CLARCOR INC.,The Stanadyne Business,Supply
71,CLARCOR INC.,Baldwin Filters,Supply
0,CLARCOR INC.,Distribution Products,customers
1,CLARCOR INC.,Packaging,customers
2,CLARCOR INC.,Company,customers
3,CLARCOR INC.,the Engine/Mobile Filtration,customers
4,CLARCOR INC.,the Industrial/Environmental Filtration,customers
5,CLARCOR INC.,Company’s,customers
6,CLARCOR INC.,CLARCOR,customers
7,CLARCOR INC.,Industrial/Environmental Filtration,customers
8,CLARCOR INC.,General Electric Company,customers
9,CLARCOR INC.,GE,customers
11,CLARCOR INC.,the European Union,customers
12,CLARCOR INC.,Parker-Hannifin,customers
15,CLARCOR INC.,CLARCOR Industrial Air,customers
17,CLARCOR INC.,HVAC,customers
18,CLARCOR INC.,FASB,customers
19,CLARCOR INC.,ASU,customers
22,CLARCOR INC.,FibeRio,customers
23,CLARCOR INC.,TDC,customers
24,CLARCOR INC.,Filter Resources,customers
25,CLARCOR INC.,Stanadyne,customers
27,CLARCOR INC.,the Credit Facility,customers
54,CLARCOR INC.,Revenue Recognition Revenue,customers
63,CLARCOR INC.,Value Useful,customers
64,CLARCOR INC.,Method Customer,customers
66,CLARCOR INC.,The Stanadyne Business,customers
69,CLARCOR INC.,Baldwin Filters,customers
72,CLARCOR INC.,Developed,customers
80,CLARCOR INC.,the Company’s Board of Directors,customers
0,DELPHI CORP,Delphi,Supply
2,DELPHI CORP,Court,Supply
3,DELPHI CORP,GM,Supply
9,DELPHI CORP,MRA,Supply
16,DELPHI CORP,VM,Supply
21,DELPHI CORP,UAW,Supply
22,DELPHI CORP,the “UAW Attrition Programs”,Supply
25,DELPHI CORP,WTC,Supply
27,DELPHI CORP,Shanghai GM,Supply
29,DELPHI CORP,non-GM,Supply
35,DELPHI CORP,Tier 1,Supply
40,DELPHI CORP,VM Supply     ,Supply
58,DELPHI CORP,the     Revolving Facility,Supply
67,DELPHI CORP,Debtors,Supply
80,DELPHI CORP,Amended,Supply
90,DELPHI CORP,GM North America,Supply
91,DELPHI CORP,American     Axle,Supply
97,DELPHI CORP,Federal-Mogul Corporation,Supply
98,DELPHI CORP,"Pulte     Homes, Inc.",Supply
143,DELPHI CORP,Hourly Labor Costs — GM,Supply
144,DELPHI CORP,OPEB,Supply
150,DELPHI CORP,Company,Supply
155,DELPHI CORP,EPCA,Supply
156,DELPHI CORP,the Accommodation Agreement,Supply
166,DELPHI CORP,JCI,Supply
169,DELPHI CORP,Powertrain Systems,Supply
170,DELPHI CORP,Thermal Systems,Supply
171,DELPHI CORP,PCBB,Supply
173,DELPHI CORP,OIBDAR,Supply
175,DELPHI CORP,the Electronics and Safety,Supply
176,DELPHI CORP,Electrical/Electronic Architecture,Supply
178,DELPHI CORP,Automotive Holdings Group,Supply
179,DELPHI CORP,Steering,Supply
198,DELPHI CORP,The     Company,Supply
259,DELPHI CORP,Debtors’,Supply
278,DELPHI CORP,IUE-CWA,Supply
286,DELPHI CORP,UAW Supplemental Agreement,Supply
288,DELPHI CORP,POSTRETIREMENT BENEFITS Delphi,Supply
290,DELPHI CORP,Supplemental Executive     Retirement Program,Supply
292,DELPHI CORP,Delphi’s Powertrain Systems,Supply
306,DELPHI CORP,the Steering Business     ,Supply
324,DELPHI CORP,"Oxford Automotive, Inc.",Supply
325,DELPHI CORP,the Compensation Committee,Supply
326,DELPHI CORP,the Internal Revenue Service,Supply
327,DELPHI CORP,IRS,Supply
329,DELPHI CORP,BEP,Supply
333,DELPHI CORP,SRP,Supply
334,DELPHI CORP,Delphi Supplemental Executive Retirement,Supply
335,DELPHI CORP,Olin Corporation     ,Supply
340,DELPHI CORP,Olin Corporation,Supply
341,DELPHI CORP,Global Brass and Copper,Supply
342,DELPHI CORP,Bank One,Supply
343,DELPHI CORP,Component Supply Agreement,Supply
345,DELPHI CORP,General Motors,Supply
347,DELPHI CORP,Delphi’s Quarterly Report,Supply
0,DELPHI CORP,Delphi,customers
1,DELPHI CORP,VM,customers
4,DELPHI CORP,Company’s,customers
5,DELPHI CORP,the Electrical/Electronic Architecture,customers
7,DELPHI CORP,Electrical/Electronic Architectures,customers
8,DELPHI CORP,Delphi’s Automotive Thermal Products,customers
10,DELPHI CORP,GM,customers
11,DELPHI CORP,Shanghai GM,customers
14,DELPHI CORP,non-GM,customers
18,DELPHI CORP,Tier 1,customers
22,DELPHI CORP,VM Supply     ,customers
28,DELPHI CORP,Debtors,customers
29,DELPHI CORP,the     Court,customers
34,DELPHI CORP,General Motors Corporation,customers
36,DELPHI CORP,Amended,customers
49,DELPHI CORP,Harley-Davidson Customer Team,customers
55,DELPHI CORP,GM North America,customers
57,DELPHI CORP,GMNA,customers
58,DELPHI CORP,American Axle,customers
61,DELPHI CORP,the     Electrical/Electronic Architecture,customers
62,DELPHI CORP,Results of Operations,customers
73,DELPHI CORP,the Steering Business,customers
80,DELPHI CORP,Automotive Holdings Group,customers
81,DELPHI CORP,Inter-segment,customers
83,DELPHI CORP,Customer,customers
85,DELPHI CORP,Company,customers
86,DELPHI CORP,the     Company,customers
89,DELPHI CORP,Court,customers
91,DELPHI CORP,Restated Global Settlement Agreement and Amended,customers
124,DELPHI CORP,Debtors’,customers
135,DELPHI CORP,Inter,customers
143,DELPHI CORP,MRA,customers
149,DELPHI CORP,the     Steering Business,customers
154,DELPHI CORP,Customer/Operational — the Compensation Committee,customers
0,DELPHI CORP,GM,Sells to
1,DELPHI CORP,Shanghai GM,Sells to
7,DELPHI CORP,Tier 1,Sells to
11,DELPHI CORP,GM North America,Sells to
13,DELPHI CORP,Ford Motor Company,Sells to
14,DELPHI CORP,Chrysler Corporation,Sells to
17,DELPHI CORP,Inter,Sells to
19,DELPHI CORP,Delphi,Sells to
0,DELPHI CORP,Delphi,dependent on
1,DELPHI CORP,the Pink Sheets,dependent on
2,DELPHI CORP,UAW,dependent on
3,DELPHI CORP,IUE-CWA,dependent on
4,DELPHI CORP,Amended,dependent on
6,DELPHI CORP,MRA,dependent on
7,DELPHI CORP,GM,dependent on
0,DANA INC,Ford,Supply
1,DANA INC,FCA,Supply
2,DANA INC,Dana,Supply
3,DANA INC,"Dongfeng Dana Axle Co., Ltd.",Supply
4,DANA INC,EBITDA,Supply
7,DANA INC,Dana Holding Corporation,Supply
8,DANA INC,Wells Fargo Bank,Supply
9,DANA INC,National Association,Supply
0,DANA INC,MinimumMember,customers
3,DANA INC,Segment Markets Products Largest Customers,customers
4,DANA INC,Ford Motor Company Light,customers
5,DANA INC,Fiat,customers
6,DANA INC,Ford Motor Company,customers
7,DANA INC,Ford,customers
10,DANA INC,FCA,customers
11,DANA INC,PACCAR Inc,customers
12,DANA INC,Toyota Motor Company,customers
13,DANA INC,Volkswagen AG,customers
16,DANA INC,Dana,customers
17,DANA INC,Light Vehicle Drive Systems,customers
18,DANA INC,Commercial Vehicle Drive,customers
19,DANA INC,Motion Systems,customers
20,DANA INC,Off-Highway Drive and Motion Systems (Off-Highway,customers
21,DANA INC,Power Technologies,customers
22,DANA INC,ODS,customers
23,DANA INC,FASB,customers
24,DANA INC,ASU,customers
25,DANA INC,Customer's Accounting for Implementation Costs Incurred,customers
26,DANA INC,CVP,customers
0,DANA INC,Ford,Sells to
1,DANA INC,FCA,Sells to
0,"EMAV Holdings, Inc.",Century Capital Partners,Supply
1,"EMAV Holdings, Inc.",Company,Supply
3,"EMAV Holdings, Inc.",Vehicle,Supply
4,"EMAV Holdings, Inc.",Jeep,Supply
5,"EMAV Holdings, Inc.",Jeep Wranglers,Supply
6,"EMAV Holdings, Inc.",SEC,Supply
0,"EMAV Holdings, Inc.",Jeep,customers
1,"EMAV Holdings, Inc.",Chevrolet,customers
0,"EMAV Holdings, Inc.",The EMAV ES,dependent on
1,"EMAV Holdings, Inc.",Jeep,dependent on
0,SENSE TECHNOLOGIES INC,OEM/,Supply
0,SENSE TECHNOLOGIES INC,Guardian Alert,customers
1,SENSE TECHNOLOGIES INC,FASB,customers
2,SENSE TECHNOLOGIES INC,ASU,customers
3,SENSE TECHNOLOGIES INC,Company’s,customers
4,SENSE TECHNOLOGIES INC,Company,customers
0,"KLEANGAS ENERGY TECHNOLOGIES, INC.",GHT,Supply
3,"KLEANGAS ENERGY TECHNOLOGIES, INC.",Oxy-Hydrogen,Supply
0,"KLEANGAS ENERGY TECHNOLOGIES, INC.",Ongoing Services,customers
1,"KLEANGAS ENERGY TECHNOLOGIES, INC.",KET,customers
2,"KLEANGAS ENERGY TECHNOLOGIES, INC.",Oxy-Hydrogen Systems,customers
3,"KLEANGAS ENERGY TECHNOLOGIES, INC.",Oxy-Hydrogen,customers
4,"KLEANGAS ENERGY TECHNOLOGIES, INC.",SEC,customers
0,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,ESW America,customers
2,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,ESW Group,customers
3,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,MHDD,customers
4,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,ESW Group’s,customers
5,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,FASB,customers
6,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,ASU,customers
7,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,Company,customers
10,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,Consolidated Revenue,customers
0,FORD MOTOR CO,Ford,Supply
5,FORD MOTOR CO,the Koc Group,Supply
6,FORD MOTOR CO,Transit Courier,Supply
9,FORD MOTOR CO,Transit,Supply
10,FORD MOTOR CO,Ford Credit,Supply
11,FORD MOTOR CO,Available Credit Lines,Supply
13,FORD MOTOR CO,"Adjusted Free Cash Flow, Adjusted EBIT",Supply
14,FORD MOTOR CO,EPS,Supply
21,FORD MOTOR CO,Non-GAAP,Supply
24,FORD MOTOR CO,Ford Credit Automotive Mobility Other,Supply
25,FORD MOTOR CO,Ford Credit Consolidated Revenues,Supply
26,FORD MOTOR CO,Assets Company,Supply
29,FORD MOTOR CO,LTR,Supply
31,FORD MOTOR CO,GRMC,Supply
32,FORD MOTOR CO,Company,Supply
33,FORD MOTOR CO,Automotive Mobility,Supply
34,FORD MOTOR CO,Ford Credit Trade,Supply
36,FORD MOTOR CO,Consumer Retail,Supply
39,FORD MOTOR CO,Automotive Credit Facilities Total Company,Supply
0,FORD MOTOR CO,Ford Credit,customers
3,FORD MOTOR CO,Takata,customers
8,FORD MOTOR CO,▪ Advertising and Sales Promotions,customers
9,FORD MOTOR CO,▪ Administrative and Selling,customers
