,source,target,relation,sentence
10,STANADYNE CORP,Deere,customers,"Deere and GM were the only customers that accounted for more than 10% of Stanadyne's net sales in 2013 at 30.2% and 17.7% , respectively."
11,STANADYNE CORP,GM,customers,"Deere and GM were the only customers that accounted for more than 10% of Stanadyne's net sales in 2013 at 30.2% and 17.7% , respectively."
12,STANADYNE CORP,Stanadyne,customers,"Deere and GM were the only customers that accounted for more than 10% of Stanadyne's net sales in 2013 at 30.2% and 17.7% , respectively."
13,STANADYNE CORP,Deere,customers,"Deere was the only customer that accounted for more than 10% of Stanadyne’s net sales in 2012 and 2011 , at 41.4% , and 38.3% , respectively."
14,STANADYNE CORP,Stanadyne’s,customers,"Deere was the only customer that accounted for more than 10% of Stanadyne’s net sales in 2012 and 2011 , at 41.4% , and 38.3% , respectively."
15,STANADYNE CORP,Stanadyne,customers,"Stanadyne supports the servicing of its own products through sales of aftermarket units and parts to the service organizations of its OEM customers, through its own global network of authorized distributors and dealers, and through major aftermarket distribution companies."
16,STANADYNE CORP,OEM,customers,"Stanadyne supports the servicing of its own products through sales of aftermarket units and parts to the service organizations of its OEM customers, through its own global network of authorized distributors and dealers, and through major aftermarket distribution companies."
17,STANADYNE CORP,Company,customers,"In general, the Company funds its own research and development expenses, although some of those expenses may be customer-funded during the pre-production program phase or offset through state incentive programs."
18,STANADYNE CORP,Service,customers,"The sales to OEM and Service customers during 2013 , 2012 and 2011 were as follows (dollars in millions): 2013 2012 2011 OEM $ 148.5 $ 125.2 $ 135.7 Service 119.4"
19,STANADYNE CORP,GM,customers,Increasing demand from GM for our high pressure gasoline pump and growth in sales of our diesel fuel filtration products more than offset lower demand from some of our OEM customers.
20,STANADYNE CORP,OEM,customers,Increasing demand from GM for our high pressure gasoline pump and growth in sales of our diesel fuel filtration products more than offset lower demand from some of our OEM customers.
21,STANADYNE CORP,Deere,customers,"Sales to our two largest diesel fuel system component customers, Deere and Cummins, were $20.9 million less in 2013 when compared to 2012, with almost half of this difference traceable to the first quarter.  "
22,STANADYNE CORP,Cummins,customers,"Sales to our two largest diesel fuel system component customers, Deere and Cummins, were $20.9 million less in 2013 when compared to 2012, with almost half of this difference traceable to the first quarter.  "
23,STANADYNE CORP,SG&A,customers,SG&A costs for premium transportation of products to our customers were also $1.0 million less in 2013 compared to 2012 when we incurred substantial amounts of premium freight costs to expedite past due orders to our customers.  
24,STANADYNE CORP,AGCO,customers,"Sales to our primarily European OEM customers, including AGCO SISU POWER (“SISU”),"
25,STANADYNE CORP,SISU,customers,"Sales to our primarily European OEM customers, including AGCO SISU POWER (“SISU”),"
26,STANADYNE CORP,SG&A,customers,"SG&A costs in 2012 were also $0.7 million lower than 2011 due to reductions in premium transportation cost for products sold to our customers, which had been delayed."
27,STANADYNE CORP,Company,customers,"Research and development costs in 2012 increased $1.6 million from 2011, reflecting the added costs to develop the Company's high pressure gasoline and diesel common rail fuel systems; however, customer funding for development programs was only $0.1 million higher in 2012 compared to customer funding received in 2011."
28,STANADYNE CORP,the U.S. Revolver,customers,"On February 13, 2013, the U.S. Revolver was amended to increase the maximum revolver by $5 million, increase interest rates and modify certain clauses within the inventory sub facility to add an inventory block and within the accounts receivable facility to increase the eligible collateral and to update customer concentration limits."
29,STANADYNE CORP,GM,customers,"These higher levels of accounts receivable reflected growth in our gasoline pump business with GM, as well as some slower payments from our customers in Europe and India.  "
30,STANADYNE CORP,Stanadyne,customers,Stanadyne continues to carefully manage customer credit and collections activities.  
31,STANADYNE CORP,Company,customers,The Company is unable to determine the aggregate value of these purchase orders and does not have any material agreements for purchases that exceed expected requirements to satisfy customer demand.
32,STANADYNE CORP,Company,customers,The Company also sells its products from the United States to foreign customers for payment in foreign currencies as well as U.S. dollars.
35,STANADYNE CORP,Company,customers,"In addition, the Company occasionally enters into development contracts with certain customers and recognizes payments received from customers on those contracts under the Milestone Method of revenue recognition, as defined in ASC 605, as reductions of Research and Development  (“R&D”) costs when earned."
36,STANADYNE CORP,Research and Development,customers,"In addition, the Company occasionally enters into development contracts with certain customers and recognizes payments received from customers on those contracts under the Milestone Method of revenue recognition, as defined in ASC 605, as reductions of Research and Development  (“R&D”) costs when earned."
37,STANADYNE CORP,Company,customers,"The Company does not provide customers with general rights of return for products sold; however, F-15 Table of Contents STANADYNE HOLDINGS, INC. AND SUBSIDIARIES STANADYNE CORPORATION AND SUBSIDIARIES NOTES TO CONSOLIDATED FINANCIAL STATEMENTS (dollars in thousands) in limited circumstances, the Company will allow sales returns and allowances from customers if the products sold do not conform to specifications."
39,STANADYNE CORP,Company,customers,The Company collects and remits taxes assessed by different governmental authorities that are both imposed on and concurrent with revenue producing transactions between the Company and its customers.
40,STANADYNE CORP,Net Sales Sales %,customers,"Ended December 31, 2011 Sales % of total Net Sales Sales % of total Net Sales Sales % of total Net Sales Significant Customers: Deere & Company (""Deere"")"
42,STANADYNE CORP,Deere & Company,customers,"Ended December 31, 2011 Sales % of total Net Sales Sales % of total Net Sales Sales % of total Net Sales Significant Customers: Deere & Company (""Deere"")"
43,STANADYNE CORP,Deere,customers,"Ended December 31, 2011 Sales % of total Net Sales Sales % of total Net Sales Sales % of total Net Sales Significant Customers: Deere & Company (""Deere"")"
44,STANADYNE CORP,"Materials Management, Customer Support",customers,"Earlier in his career, he held positions in Materials Management, Customer Support, Shop Operations and Manufacturing Engineering.  "
45,STANADYNE CORP,Shop Operations and Manufacturing Engineering,customers,"Earlier in his career, he held positions in Materials Management, Customer Support, Shop Operations and Manufacturing Engineering.  "
46,STANADYNE CORP,EBITDA,customers,"The longer term goals include increasing revenue base, increasing earnings as measured by EBITDA and achieving world-class performance in the areas of quality, delivery and customer satisfaction."
0,STANADYNE CORP,Service,Sells to,"The sales to OEM and Service customers during 2013 , 2012 and 2011 were as follows (dollars in millions): 2013 2012 2011 OEM $ 148.5 $ 125.2 $ 135.7 Service 119.4"
1,STANADYNE CORP,the Original Equipment Manufacturers,Sells to,"Sales to the Original Equipment Manufacturers (""OEMs"") increased by $23.3 million and 18.6%, primarily reflecting the successful launch of the GM gas pump business, partially offset by lower sales of diesel pump and injector products."
2,STANADYNE CORP,GM,Sells to,"Sales to the Original Equipment Manufacturers (""OEMs"") increased by $23.3 million and 18.6%, primarily reflecting the successful launch of the GM gas pump business, partially offset by lower sales of diesel pump and injector products."
3,STANADYNE CORP,Service,Sells to,"Sales to the Service channels in 2013 decreased by 5.5% from 2012 levels, due entirely to $7.9 million lower sales to our distributor network, in part reflecting that $3.2 million of sales in 2012 represented past due orders that had accumulated in 2011 during our manufacturing reorganization."
4,STANADYNE CORP,Deere,Sells to,"Sales to our two largest diesel fuel system component customers, Deere and Cummins, were $20.9 million less in 2013 when compared to 2012, with almost half of this difference traceable to the first quarter.  "
5,STANADYNE CORP,Cummins,Sells to,"Sales to our two largest diesel fuel system component customers, Deere and Cummins, were $20.9 million less in 2013 when compared to 2012, with almost half of this difference traceable to the first quarter.  "
6,STANADYNE CORP,GEP,Sells to,"Sales to GEP were $5.2 million less in the first nine months of 2013 when compared to the same period in 2012, reflecting very low demand this year for diesel fuel pumps used to power the military HUMMWV."
7,STANADYNE CORP,HUMMWV,Sells to,"Sales to GEP were $5.2 million less in the first nine months of 2013 when compared to the same period in 2012, reflecting very low demand this year for diesel fuel pumps used to power the military HUMMWV."
8,STANADYNE CORP,AGCO,Sells to,"Sales to our primarily European OEM customers, including AGCO SISU POWER (“SISU”),"
9,STANADYNE CORP,SISU,Sells to,"Sales to our primarily European OEM customers, including AGCO SISU POWER (“SISU”),"
10,STANADYNE CORP,Ford,Sells to,"Our OEM sales to Ford were also $6.5 million lower in 2012 as compared to 2011, due to the anticipated roll-off of an OE filter program late in 2011.  "
11,STANADYNE CORP,OE,Sells to,"Our OEM sales to Ford were also $6.5 million lower in 2012 as compared to 2011, due to the anticipated roll-off of an OE filter program late in 2011.  "
12,STANADYNE CORP,Deere,Sells to,Service sales to Deere and our independent distribution network were $14.5 million higher in 2012 when compared to 2011.
0,KEYSTONE AUTOMOTIVE OPERATIONS INC,Arrow,Supply,"As a result of changes in the specialty automotive equipment market, specifically our purchase of certain operating assets from Arrow, we have been able to negotiate contracts with some of these retailers, to which we had not historically had access, and are now supplying products to these retailers. • Selectively Pursue Acquisitions ."
1,KEYSTONE AUTOMOTIVE OPERATIONS INC,Selectively Pursue Acquisitions,Supply,"As a result of changes in the specialty automotive equipment market, specifically our purchase of certain operating assets from Arrow, we have been able to negotiate contracts with some of these retailers, to which we had not historically had access, and are now supplying products to these retailers. • Selectively Pursue Acquisitions ."
2,KEYSTONE AUTOMOTIVE OPERATIONS INC,Competition Industry,Supply,Competition Industry participants have a variety of supply choices.
3,KEYSTONE AUTOMOTIVE OPERATIONS INC,VWR,Supply,"Before joining VWR, Mr. Canavan was Director of Integrated Supply Chain at Textron,"
4,KEYSTONE AUTOMOTIVE OPERATIONS INC,Integrated Supply Chain,Supply,"Before joining VWR, Mr. Canavan was Director of Integrated Supply Chain at Textron,"
5,KEYSTONE AUTOMOTIVE OPERATIONS INC,Textron,Supply,"Before joining VWR, Mr. Canavan was Director of Integrated Supply Chain at Textron,"
6,KEYSTONE AUTOMOTIVE OPERATIONS INC,the Board of Directors,Supply,"Currently, Mr. Edgerley sits on the Board of Directors of The Boston Celtics, Steel Dynamics Inc., HD Supply, Mei Conlux, Inc., Sensata Tech N.V., and Suntelephone."
7,KEYSTONE AUTOMOTIVE OPERATIONS INC,"The Boston Celtics, Steel Dynamics Inc.",Supply,"Currently, Mr. Edgerley sits on the Board of Directors of The Boston Celtics, Steel Dynamics Inc., HD Supply, Mei Conlux, Inc., Sensata Tech N.V., and Suntelephone."
8,KEYSTONE AUTOMOTIVE OPERATIONS INC,HD Supply,Supply,"Currently, Mr. Edgerley sits on the Board of Directors of The Boston Celtics, Steel Dynamics Inc., HD Supply, Mei Conlux, Inc., Sensata Tech N.V., and Suntelephone."
9,KEYSTONE AUTOMOTIVE OPERATIONS INC,Sensata Tech N.V.,Supply,"Currently, Mr. Edgerley sits on the Board of Directors of The Boston Celtics, Steel Dynamics Inc., HD Supply, Mei Conlux, Inc., Sensata Tech N.V., and Suntelephone."
10,KEYSTONE AUTOMOTIVE OPERATIONS INC,"Innophos, Inc.",Supply,"Mr. Zide is also a director of Innophos, Inc., HD Supply,"
11,KEYSTONE AUTOMOTIVE OPERATIONS INC,HD Supply,Supply,"Mr. Zide is also a director of Innophos, Inc., HD Supply,"
0,KEYSTONE AUTOMOTIVE OPERATIONS INC,Industry,customers,The valuable services we provide and the deep level of integration we have with the business operations of our customers and vendors have resulted in what we believe to be a strong and stable position within our Industry.
1,KEYSTONE AUTOMOTIVE OPERATIONS INC,Blacksmith,customers,"The Blacksmith acquisition strengthened our presence in the Midwest and provided us access to new customers, vendors and the ability to integrate Blacksmith’s operations into the Company’s infrastructure."
2,KEYSTONE AUTOMOTIVE OPERATIONS INC,Blacksmith’s,customers,"The Blacksmith acquisition strengthened our presence in the Midwest and provided us access to new customers, vendors and the ability to integrate Blacksmith’s operations into the Company’s infrastructure."
3,KEYSTONE AUTOMOTIVE OPERATIONS INC,Reliable,customers,The Reliable acquisition provided us access to new customers and the ability to consolidate Reliable’s operations into the Company’s infrastructure.
4,KEYSTONE AUTOMOTIVE OPERATIONS INC,Reliable’s,customers,The Reliable acquisition provided us access to new customers and the ability to consolidate Reliable’s operations into the Company’s infrastructure.
5,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company’s,customers,The Reliable acquisition provided us access to new customers and the ability to consolidate Reliable’s operations into the Company’s infrastructure.
6,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company,customers,"During 2009, we continued to leverage our geographic footprint to drive efficiencies throughout the Company, consolidating our call centers and adding cross-docks in Portland, Oregon; Aberdeen, South Dakota and Moosejaw, Saskatchewan; to serve our customers in the Midwest and West Coast regions of the United States and throughout Canada."
7,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution,customers,"The Distribution segment (“Distribution”) aggregates eight regions or operating segments that are economically similar, share a common class of customers and distribute the same products."
8,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution,customers,Our four warehouse distribution centers hold the vast majority of the Distribution segment’s inventory and distribute merchandise to cross-docks in their respective regions for next-day or second-day delivery to customers.
9,KEYSTONE AUTOMOTIVE OPERATIONS INC,A&A Stores,customers,A&A Stores are visible from high traffic areas and provide customers with ease of access and drive-up parking.
10,KEYSTONE AUTOMOTIVE OPERATIONS INC,Industry,customers,"By leveraging these competitive strengths and capitalizing on the critical role that large distributors play in the Industry, we believe we will be able to maintain sales to our existing customers during this continuing difficult economic environment."
11,KEYSTONE AUTOMOTIVE OPERATIONS INC,Customer Support Representatives,customers,Customer Support Representatives.
20,KEYSTONE AUTOMOTIVE OPERATIONS INC,the Blacksmith Acquisition,customers,"The primary benefit of the Blacksmith Acquisition was access to new customers, vendors and the ability to integrate Blacksmith’s operations into the Company’s existing infrastructure."
21,KEYSTONE AUTOMOTIVE OPERATIONS INC,Blacksmith’s,customers,"The primary benefit of the Blacksmith Acquisition was access to new customers, vendors and the ability to integrate Blacksmith’s operations into the Company’s existing infrastructure."
22,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company,customers,"The decreases in the Company results over the past 24 months were attributable to a combination of factors including continuing decreases in consumer spending on discretionary items driven by general economic recession, increased unemployment, declines in truck and SUV sales, and the decline in available credit in the market place, influenced by continued turmoil and volatility in the financial markets which has impacted the audit industry as a whole, from vehicle manufacturers to suppliers and customers."
23,KEYSTONE AUTOMOTIVE OPERATIONS INC,National Accounts,customers,Our Dropship fulfillment operations (shipping via third party delivery primarily to residential locations) achieved double-digit increase in net sales and National Accounts (customers that participate in retail markets on a national or multi-region basis) achieved a single-digit increase in net sales versus prior year.
24,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution,customers,The Distribution reportable segment encompasses the Company’s hub-and-spoke distribution network that distributes specialty automotive equipment for vehicles to our customers.
25,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company’s,customers,The Distribution reportable segment encompasses the Company’s hub-and-spoke distribution network that distributes specialty automotive equipment for vehicles to our customers.
26,KEYSTONE AUTOMOTIVE OPERATIONS INC,the Distribution and Retail,customers,"The Company determined that, based on the organizational structure and the information that is provided to and reviewed by management, its long-lived asset groups consist of trade names for the Distribution and Retail segments, and vendor agreements and customer relationships for the Distribution segment."
27,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution,customers,"The Company determined that, based on the organizational structure and the information that is provided to and reviewed by management, its long-lived asset groups consist of trade names for the Distribution and Retail segments, and vendor agreements and customer relationships for the Distribution segment."
28,KEYSTONE AUTOMOTIVE OPERATIONS INC,VWR,customers,"Inc. (“VWR”), a $3.2 billion distributor of laboratory supplies to small and large customers in pharmaceuticals, universities and other markets, where he served as President of the Global Lab Business."
29,KEYSTONE AUTOMOTIVE OPERATIONS INC,the Global Lab Business,customers,"Inc. (“VWR”), a $3.2 billion distributor of laboratory supplies to small and large customers in pharmaceuticals, universities and other markets, where he served as President of the Global Lab Business."
30,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company,customers,"The Company sells and distributes specialty automotive products, such as light truck/SUV accessories, car accessories and trim items, specialty wheels, tires and suspension parts, and high performance products to a fragmented base of approximately 15,000 customers."
31,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company,customers,The Company maintains an allowance for doubtful accounts for estimated losses resulting from the inability of our customers to make required payments.
34,KEYSTONE AUTOMOTIVE OPERATIONS INC,Revenue Recognition Revenue,customers,"Revenue Recognition Revenue is recognized when title and risk of loss are transferred to the customer, which occurs upon receipt by the customer when shipped on Company-owned vehicles and upon shipment of the product to the customer when shipped via common carrier."
35,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company,customers,"Based on the nature of the Company’s reportable operations, facilities and management structure, the Company considers its business to constitute two segments for financial reporting purposes, Distribution and Retail, as described below: Distribution The Distribution segment encompasses eight regions that are economically similar, share a common class of customers and distribute the same products."
36,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution and Retail,customers,"Based on the nature of the Company’s reportable operations, facilities and management structure, the Company considers its business to constitute two segments for financial reporting purposes, Distribution and Retail, as described below: Distribution The Distribution segment encompasses eight regions that are economically similar, share a common class of customers and distribute the same products."
37,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution The Distribution,customers,"Based on the nature of the Company’s reportable operations, facilities and management structure, the Company considers its business to constitute two segments for financial reporting purposes, Distribution and Retail, as described below: Distribution The Distribution segment encompasses eight regions that are economically similar, share a common class of customers and distribute the same products."
39,KEYSTONE AUTOMOTIVE OPERATIONS INC,A&A Stores,customers,A&A Stores are visible from high traffic areas and provide customers ease of access and drive-up parking.
0,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution,Sells to,The Distribution segment supplies the Retail segment; these intercompany sales are included in the amounts reported as net sales for the Distribution segment and are eliminated to arrive at net sales to third parties.
1,KEYSTONE AUTOMOTIVE OPERATIONS INC,Retail,Sells to,The Distribution segment supplies the Retail segment; these intercompany sales are included in the amounts reported as net sales for the Distribution segment and are eliminated to arrive at net sales to third parties.
3,KEYSTONE AUTOMOTIVE OPERATIONS INC,Industry,Sells to,"By leveraging these competitive strengths and capitalizing on the critical role that large distributors play in the Industry, we believe we will be able to maintain sales to our existing customers during this continuing difficult economic environment."
4,KEYSTONE AUTOMOTIVE OPERATIONS INC,Company,Sells to,"As our geographic footprint has expanded, our sales to automotive parts retail chains have grown, but still only represented a minor percentage of our net sales in 2009 and we believe continues to represent a growth opportunity for the Company into the future."
5,KEYSTONE AUTOMOTIVE OPERATIONS INC,Distribution,Sells to,"The Distribution segment supplies the Retail Operations segment; these inter-company sales are included in the amounts reported as net sales for the Distribution Segment in the table below, and are eliminated to arrive at net sales to third parties."
6,KEYSTONE AUTOMOTIVE OPERATIONS INC,Retail Operations,Sells to,"The Distribution segment supplies the Retail Operations segment; these inter-company sales are included in the amounts reported as net sales for the Distribution Segment in the table below, and are eliminated to arrive at net sales to third parties."
7,KEYSTONE AUTOMOTIVE OPERATIONS INC,the Distribution Segment,Sells to,"The Distribution segment supplies the Retail Operations segment; these inter-company sales are included in the amounts reported as net sales for the Distribution Segment in the table below, and are eliminated to arrive at net sales to third parties."
0,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,General Motors Company,Supply,"We are a primary supplier of driveline components to General Motors Company (GM) for its full-size rear-wheel drive (RWD) light trucks, sport utility vehicles (SUV), and crossover vehicles manufactured in North America, supplying a significant portion of GM's rear axle and four-wheel drive and all-wheel drive (4WD/AWD) axle requirements for these vehicle platforms.  "
1,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,GM,Supply,"We are a primary supplier of driveline components to General Motors Company (GM) for its full-size rear-wheel drive (RWD) light trucks, sport utility vehicles (SUV), and crossover vehicles manufactured in North America, supplying a significant portion of GM's rear axle and four-wheel drive and all-wheel drive (4WD/AWD) axle requirements for these vehicle platforms.  "
3,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,GM,Supply,We also supply GM with various products from our Metal Forming segment.  
4,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Metal Forming,Supply,We also supply GM with various products from our Metal Forming segment.  
5,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,the Casting Sale,Supply,"Retention of our El Carmen, Mexico manufacturing facility as part of the Casting Sale, as well as our acquisitions of MPG and USM Mexico Manufacturing LLC (USM Mexico) in 2017 furthered our efforts to vertically integrate the supply chain and helped ensure continuity of supply for certain parts to our largest manufacturing facility."
6,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,MPG,Supply,"Retention of our El Carmen, Mexico manufacturing facility as part of the Casting Sale, as well as our acquisitions of MPG and USM Mexico Manufacturing LLC (USM Mexico) in 2017 furthered our efforts to vertically integrate the supply chain and helped ensure continuity of supply for certain parts to our largest manufacturing facility."
7,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,USM Mexico Manufacturing LLC,Supply,"Retention of our El Carmen, Mexico manufacturing facility as part of the Casting Sale, as well as our acquisitions of MPG and USM Mexico Manufacturing LLC (USM Mexico) in 2017 furthered our efforts to vertically integrate the supply chain and helped ensure continuity of supply for certain parts to our largest manufacturing facility."
8,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,USMCA,Supply,"Our supply chain, as well as our customers' supply chain, is also at risk of unanticipated events such as natural disasters, changes in governmental regulations and trade agreements (including USMCA or NAFTA), or financial or operational instability of suppliers that could cause a disruption in the supply of critical components to us and our customers.  "
9,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,NAFTA,Supply,"Our supply chain, as well as our customers' supply chain, is also at risk of unanticipated events such as natural disasters, changes in governmental regulations and trade agreements (including USMCA or NAFTA), or financial or operational instability of suppliers that could cause a disruption in the supply of critical components to us and our customers.  "
15,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,General Motors Company,Supply,"Important factors that could cause such differences include, but are not limited to: • reduced purchases of our products by General Motors Company (GM), FCA US LLC (FCA), or other customers; • our ability to respond to changes in technology, increased competition or pricing pressures; • our ability to develop and produce new products that reflect market demand; • lower-than-anticipated market acceptance of new or existing products; • our ability to attract new customers and programs for new products; • reduced demand for our customers' products (particularly light trucks and sport utility vehicles (SUVs) produced by GM and FCA); • risks inherent in our global operations (including tariffs and the potential consequences thereof to us, our suppliers, and our customers and their suppliers, adverse changes in trade agreements, such as NAFTA or USMCA, immigration policies, political stability, taxes and other law changes, currency rate fluctuations, and potential disruptions of production and supply, including those as a result of public health crises, such as pandemic or epidemic illness, or otherwise); • a significant disruption in operations at one or more of our key manufacturing facilities; • negative or unexpected tax consequences; • risks related to a failure of our information technology systems and networks, and risks associated with current and emerging technology threats and damage from computer viruses, unauthorized access, cyber attack and other similar disruptions; • global economic conditions; • an impairment of our goodwill, other intangible assets, or long-lived assets if our business or market conditions indicate that the carrying values of those assets exceed their fair values;"
16,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,GM,Supply,"Important factors that could cause such differences include, but are not limited to: • reduced purchases of our products by General Motors Company (GM), FCA US LLC (FCA), or other customers; • our ability to respond to changes in technology, increased competition or pricing pressures; • our ability to develop and produce new products that reflect market demand; • lower-than-anticipated market acceptance of new or existing products; • our ability to attract new customers and programs for new products; • reduced demand for our customers' products (particularly light trucks and sport utility vehicles (SUVs) produced by GM and FCA); • risks inherent in our global operations (including tariffs and the potential consequences thereof to us, our suppliers, and our customers and their suppliers, adverse changes in trade agreements, such as NAFTA or USMCA, immigration policies, political stability, taxes and other law changes, currency rate fluctuations, and potential disruptions of production and supply, including those as a result of public health crises, such as pandemic or epidemic illness, or otherwise); • a significant disruption in operations at one or more of our key manufacturing facilities; • negative or unexpected tax consequences; • risks related to a failure of our information technology systems and networks, and risks associated with current and emerging technology threats and damage from computer viruses, unauthorized access, cyber attack and other similar disruptions; • global economic conditions; • an impairment of our goodwill, other intangible assets, or long-lived assets if our business or market conditions indicate that the carrying values of those assets exceed their fair values;"
17,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,FCA US,Supply,"Important factors that could cause such differences include, but are not limited to: • reduced purchases of our products by General Motors Company (GM), FCA US LLC (FCA), or other customers; • our ability to respond to changes in technology, increased competition or pricing pressures; • our ability to develop and produce new products that reflect market demand; • lower-than-anticipated market acceptance of new or existing products; • our ability to attract new customers and programs for new products; • reduced demand for our customers' products (particularly light trucks and sport utility vehicles (SUVs) produced by GM and FCA); • risks inherent in our global operations (including tariffs and the potential consequences thereof to us, our suppliers, and our customers and their suppliers, adverse changes in trade agreements, such as NAFTA or USMCA, immigration policies, political stability, taxes and other law changes, currency rate fluctuations, and potential disruptions of production and supply, including those as a result of public health crises, such as pandemic or epidemic illness, or otherwise); • a significant disruption in operations at one or more of our key manufacturing facilities; • negative or unexpected tax consequences; • risks related to a failure of our information technology systems and networks, and risks associated with current and emerging technology threats and damage from computer viruses, unauthorized access, cyber attack and other similar disruptions; • global economic conditions; • an impairment of our goodwill, other intangible assets, or long-lived assets if our business or market conditions indicate that the carrying values of those assets exceed their fair values;"
